Gene,Promoter,Chr,Start,Stop,Flo8_Exp,Flo8_Obs,Flo8_pVal,Mss11_Exp,Mss11_Obs,Mss11_pVal,Mfg1_Exp,Mfg1_Obs,Mfg1_pVal,Sok2_Exp,Sok2_Obs,Sok2_pVal,Ste12_Exp,Ste12_Obs,Ste12_pVal,Tec1_Exp,Tec1_Obs,Tec1_pVal,Mit1_Exp,Mit1_Obs,Mit1_pVal,Nrg1_Exp,Nrg1_Obs,Nrg1_pVal,Sfl1_Exp,Sfl1_Obs,Sfl1_pVal,Phd1_Exp,Phd1_Obs,Phd1_pVal,Mga1_Exp,Mga1_Obs,Mga1_pVal,Rim101_Exp,Rim101_Obs,Rim101_pVal,Rlm1_Exp,Rlm1_Obs,Rlm1_pVal,Rtg1_Exp,Rtg1_Obs,Rtg1_pVal,Skn7_Exp,Skn7_Obs,Skn7_pVal,Smp1_Exp,Smp1_Obs,Smp1_pVal,Fkh1_Exp,Fkh1_Obs,Fkh1_pVal,Dig1_Exp,Dig1_Obs,Dig1_pVal,Gln3_Exp,Gln3_Obs,Gln3_pVal,Hms1_Exp,Hms1_Obs,Hms1_pVal,Msn1_Exp,Msn1_Obs,Msn1_pVal,Hot1_Exp,Hot1_Obs,Hot1_pVal,Hms2_Exp,Hms2_Obs,Hms2_pVal,Yap6_Exp,Yap6_Obs,Yap6_pVal,Msn2_Exp,Msn2_Obs,Msn2_pVal,Msn4_Exp,Msn4_Obs,Msn4_pVal,Gcn4_Exp,Gcn4_Obs,Gcn4_pVal,Rgm1_Exp,Rgm1_Obs,Rgm1_pVal
YBR058C,UBP14,2,328376,326031,1.5419,0,1.00E+00,1.3882,1,7.50E-01,2.1939,1,8.89E-01,1.4384,2,4.21E-01,1.5547,1,7.89E-01,1.5572,2,4.61E-01,1.418,0,1.00E+00,1.3653,1,7.45E-01,1.2989,1,7.27E-01,2.22,3,3.83E-01,1.7989,5,3.63E-02,1.2104,2,3.41E-01,1.2033,0,1.00E+00,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,1,6.63E-01,1.6014,2,4.76E-01,1.7557,0,1.00E+00,1.3133,1,7.31E-01,1.1874,1,6.95E-01,1.2087,0,1.00E+00,1.2271,0,1.00E+00,1.498,2,4.41E-01,1.3458,0,1.00E+00,1.2779,1,7.21E-01,1.4207,0,1.00E+00,1.1131,0,1.00E+00,1.2534,0,1.00E+00
YBR058C-A,TSC3,2,328925,328683,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,2,2.64E-01,1,1,6.32E-01,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,1,6.32E-01,1,2,2.64E-01,1,2,2.64E-01,1,1,6.32E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,2,2.64E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,1,6.32E-01,1,0,1.00E+00,1,0,1.00E+00,1,0,1.00E+00
YBR059C,AKL1,2,332548,329222,3.1677,2,8.25E-01,2.5526,0,1.00E+00,5.7755,0,1.00E+00,2.7536,0,1.00E+00,3.2189,0,1.00E+00,3.2287,2,8.33E-01,2.672,0,1.00E+00,2.4611,2,7.05E-01,2.1954,2,6.44E-01,5.8801,1,9.97E-01,4.1957,4,6.04E-01,1.8418,0,1.00E+00,1.8131,0,1.00E+00,1.3325,1,7.36E-01,1.7708,0,1.00E+00,1.3524,0,1.00E+00,3.4058,2,8.54E-01,4.0227,2,9.10E-01,2.2532,0,1.00E+00,1.7497,0,1.00E+00,1.835,0,1.00E+00,1.9084,1,8.52E-01,2.9919,2,8.00E-01,2.3832,2,6.88E-01,2.1115,0,1.00E+00,2.6829,1,9.32E-01,1.4523,1,7.66E-01,2.0137,1,8.67E-01
YBR060C,ORC2,2,334875,333013,3.7097,0,1.00E+00,2.9408,0,1.00E+00,6.9694,1,9.99E-01,3.192,0,1.00E+00,3.7736,2,8.90E-01,3.7859,0,1.00E+00,3.09,0,1.00E+00,2.8264,1,9.41E-01,2.4943,1,9.17E-01,7.1002,3,9.73E-01,4.9947,0,1.00E+00,2.0522,0,1.00E+00,2.0163,0,1.00E+00,1.4157,0,1.00E+00,1.9636,0,1.00E+00,1.4404,0,1.00E+00,4.0072,2,9.09E-01,4.7783,0,1.00E+00,2.5666,2,7.26E-01,1.9372,0,1.00E+00,2.0437,1,8.70E-01,2.1355,0,1.00E+00,3.4898,3,6.77E-01,2.729,1,9.35E-01,2.3894,2,6.89E-01,3.1036,2,8.16E-01,1.5653,0,1.00E+00,2.2671,0,1.00E+00
YBR061C,TRM7,2,338081,337149,3.7097,2,8.85E-01,2.9408,0,1.00E+00,6.9694,0,1.00E+00,3.192,2,8.28E-01,3.7736,0,1.00E+00,3.7859,1,9.77E-01,3.09,0,1.00E+00,2.8264,1,9.41E-01,2.4943,0,1.00E+00,7.1002,6,7.12E-01,4.9947,3,8.75E-01,2.0522,1,8.72E-01,2.0163,0,1.00E+00,1.4157,0,1.00E+00,1.9636,0,1.00E+00,1.4404,0,1.00E+00,4.0072,3,7.63E-01,4.7783,3,8.55E-01,2.5666,1,9.23E-01,1.9372,1,8.56E-01,2.0437,1,8.70E-01,2.1355,0,1.00E+00,3.4898,1,9.69E-01,2.729,2,7.57E-01,2.3894,4,2.19E-01,3.1036,0,1.00E+00,1.5653,0,1.00E+00,2.2671,0,1.00E+00
YBR062C,YBR062C,2,338962,338338,2.6258,1,9.28E-01,2.1645,0,1.00E+00,4.5817,0,1.00E+00,2.3152,2,6.73E-01,2.6641,0,1.00E+00,2.6715,0,1.00E+00,2.254,1,8.95E-01,2.0959,2,6.19E-01,1.8966,0,1.00E+00,4.6601,3,8.44E-01,3.3968,4,4.41E-01,1.6313,1,8.04E-01,1.6098,1,8.00E-01,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,3,5.32E-01,3.267,3,6.34E-01,1.9399,0,1.00E+00,1.5623,1,7.90E-01,1.6262,1,8.03E-01,1.6813,0,1.00E+00,2.4939,0,1.00E+00,2.0374,4,1.50E-01,1.8336,2,5.47E-01,2.2622,1,8.96E-01,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YBR063C,YBR063C,2,340546,339332,2.6258,0,1.00E+00,2.1645,0,1.00E+00,4.5817,0,1.00E+00,2.3152,0,1.00E+00,2.6641,2,7.45E-01,2.6715,0,1.00E+00,2.254,0,1.00E+00,2.0959,1,8.77E-01,1.8966,0,1.00E+00,4.6601,5,4.98E-01,3.3968,0,1.00E+00,1.6313,1,8.04E-01,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,0,1.00E+00,3.267,1,9.62E-01,1.9399,0,1.00E+00,1.5623,4,7.37E-02,1.6262,0,1.00E+00,1.6813,1,8.14E-01,2.4939,0,1.00E+00,2.0374,3,3.33E-01,1.8336,0,1.00E+00,2.2622,2,6.60E-01,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YBR064W,YBR064W,2,340125,340553,2.6258,1,9.28E-01,2.1645,0,1.00E+00,4.5817,0,1.00E+00,2.3152,2,6.73E-01,2.6641,0,1.00E+00,2.6715,0,1.00E+00,2.254,1,8.95E-01,2.0959,2,6.19E-01,1.8966,0,1.00E+00,4.6601,3,8.44E-01,3.3968,4,4.41E-01,1.6313,1,8.04E-01,1.6098,1,8.00E-01,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,3,5.32E-01,3.267,3,6.34E-01,1.9399,0,1.00E+00,1.5623,1,7.90E-01,1.6262,1,8.03E-01,1.6813,0,1.00E+00,2.4939,0,1.00E+00,2.0374,4,1.50E-01,1.8336,2,5.47E-01,2.2622,1,8.96E-01,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YBR065C,ECM2,2,342040,340946,9.129,4,9.81E-01,6.8223,1,9.99E-01,18.9083,4,1.00E+00,7.5759,1,9.99E-01,9.3207,4,9.83E-01,9.3577,1,1.00E+00,7.2699,2,9.94E-01,6.4793,4,8.87E-01,5.4829,2,9.73E-01,19.3005,9,9.97E-01,12.984,10,8.33E-01,4.1567,0,1.00E+00,4.049,0,1.00E+00,2.247,1,8.94E-01,3.8907,0,1.00E+00,2.3213,0,1.00E+00,10.0216,0,1.00E+00,12.335,9,8.66E-01,5.6997,2,9.78E-01,3.8115,1,9.78E-01,4.1312,2,9.18E-01,4.4065,0,1.00E+00,8.4694,7,7.41E-01,6.1869,2,9.85E-01,5.1681,3,8.89E-01,7.3108,7,5.96E-01,2.696,0,1.00E+00,4.8013,2,9.52E-01
YBR066C,NRG2,2,343062,342400,34.5999,30,8.05E-01,25.0654,16,9.78E-01,75.0209,81,2.60E-01,28.1805,14,9.99E-01,35.3923,28,9.12E-01,35.545,12,1.00E+00,26.9156,2,1.00E+00,23.6477,95,4.33E-15,19.5293,6,1.00E+00,76.6421,40,1.00E+00,50.5338,40,9.44E-01,14.0478,9,9.39E-01,13.6025,3,1.00E+00,6.1544,6,5.79E-01,12.9482,2,1.00E+00,6.4616,4,8.85E-01,38.2894,16,1.00E+00,47.8512,35,9.78E-01,20.4253,10,9.96E-01,12.621,4,9.99E-01,13.9423,4,1.00E+00,15.0801,8,9.83E-01,31.8737,21,9.83E-01,22.4391,9,1.00E+00,18.228,8,9.98E-01,27.0846,15,9.96E-01,8.0101,1,1.00E+00,16.7122,7,9.98E-01
YBR067C,TIP1,2,345098,344466,12.9226,6,9.89E-01,9.5393,3,9.96E-01,27.2655,38,2.98E-02,10.6447,0,1.00E+00,13.2037,11,7.65E-01,13.2579,9,9.11E-01,10.1958,2,1.00E+00,9.0363,20,1.11E-03,7.5749,4,9.44E-01,27.8407,18,9.81E-01,18.5765,7,9.99E-01,5.6298,1,9.96E-01,5.4718,1,9.96E-01,2.829,1,9.41E-01,5.2397,0,1.00E+00,2.938,7,3.05E-02,14.2317,2,1.00E+00,17.6246,18,4.96E-01,7.8929,1,1.00E+00,5.1236,2,9.64E-01,5.5924,2,9.75E-01,5.9962,2,9.83E-01,11.9552,5,9.92E-01,8.6074,3,9.91E-01,7.1132,3,9.73E-01,10.2558,3,9.98E-01,3.4874,1,9.69E-01,6.5753,1,9.99E-01
YBR068C,BAP2,2,348053,346224,5.3355,6,4.43E-01,4.1052,6,2.32E-01,10.5511,6,9.51E-01,4.5072,3,8.27E-01,5.4377,1,9.96E-01,5.4574,4,7.93E-01,4.3439,0,1.00E+00,3.9223,17,8.72E-07,3.3909,0,1.00E+00,10.7603,11,5.11E-01,7.3915,6,7.46E-01,2.6836,4,2.82E-01,2.6261,0,1.00E+00,1.6651,3,2.34E-01,2.5417,2,7.21E-01,1.7047,0,1.00E+00,5.8115,2,9.80E-01,7.0453,4,9.21E-01,3.5065,0,1.00E+00,2.4995,2,7.13E-01,2.67,0,1.00E+00,2.8168,3,5.35E-01,4.9837,10,3.12E-02,3.7663,1,9.77E-01,3.223,9,5.97E-03,4.3658,1,9.87E-01,1.9045,1,8.51E-01,3.0274,2,8.05E-01
YBR069C,TAT1,2,350798,348939,10.7548,15,1.29E-01,7.9867,2,9.97E-01,22.4899,18,8.55E-01,8.8911,7,7.83E-01,10.9849,5,9.85E-01,11.0292,3,9.99E-01,8.5239,3,9.91E-01,7.5751,9,3.48E-01,6.3795,1,9.98E-01,22.9606,30,9.01E-02,15.3808,16,4.71E-01,4.7881,3,8.56E-01,4.6588,1,9.91E-01,2.4964,3,4.55E-01,4.4688,1,9.89E-01,2.5856,0,1.00E+00,11.826,11,6.34E-01,14.602,4,1.00E+00,6.6396,9,2.25E-01,4.3738,0,1.00E+00,4.7575,2,9.51E-01,5.0878,10,3.51E-02,9.9633,4,9.89E-01,7.2243,5,8.47E-01,6.0017,2,9.83E-01,8.5729,7,7.52E-01,3.0352,5,1.91E-01,5.5616,2,9.75E-01
YBR070C,ALG14,2,352299,351586,4.2516,4,6.14E-01,3.3289,0,1.00E+00,8.1633,0,1.00E+00,3.6304,0,1.00E+00,4.3283,1,9.87E-01,4.3431,2,9.31E-01,3.508,0,1.00E+00,3.1917,5,2.18E-01,2.7932,0,1.00E+00,8.3202,11,2.17E-01,5.7936,1,9.97E-01,2.2627,1,8.96E-01,2.2196,5,7.46E-02,1.4988,1,7.77E-01,2.1563,0,1.00E+00,1.5285,0,1.00E+00,4.6087,8,9.58E-02,5.534,5,6.48E-01,2.8799,2,7.82E-01,2.1246,1,8.81E-01,2.2525,2,6.58E-01,2.3626,2,6.83E-01,3.9878,1,9.81E-01,3.0748,0,1.00E+00,2.6672,1,9.31E-01,3.5243,11,1.08E-03,1.6784,1,8.13E-01,2.5205,2,7.17E-01
YBR071W,YBR071W,2,352776,353411,3.7097,4,5.08E-01,2.9408,0,1.00E+00,6.9694,0,1.00E+00,3.192,0,1.00E+00,3.7736,1,9.77E-01,3.7859,2,8.91E-01,3.09,0,1.00E+00,2.8264,4,3.14E-01,2.4943,0,1.00E+00,7.1002,10,1.80E-01,4.9947,0,1.00E+00,2.0522,0,1.00E+00,2.0163,5,5.41E-02,1.4157,1,7.57E-01,1.9636,0,1.00E+00,1.4404,0,1.00E+00,4.0072,8,5.16E-02,4.7783,5,5.20E-01,2.5666,1,9.23E-01,1.9372,1,8.56E-01,2.0437,1,8.70E-01,2.1355,2,6.29E-01,3.4898,2,8.63E-01,2.729,0,1.00E+00,2.3894,1,9.08E-01,3.1036,10,1.41E-03,1.5653,1,7.91E-01,2.2671,2,6.61E-01
YBR072W,HSP26,2,354395,355039,2.6258,1,9.28E-01,2.1645,4,1.74E-01,4.5817,7,1.80E-01,2.3152,1,9.01E-01,2.6641,1,9.30E-01,2.6715,0,1.00E+00,2.254,0,1.00E+00,2.0959,2,6.19E-01,1.8966,0,1.00E+00,4.6601,7,1.90E-01,3.3968,2,8.53E-01,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,3,5.32E-01,3.267,1,9.62E-01,1.9399,1,8.56E-01,1.5623,2,4.63E-01,1.6262,0,1.00E+00,1.6813,1,8.14E-01,2.4939,3,4.55E-01,2.0374,0,1.00E+00,1.8336,1,8.40E-01,2.2622,4,1.93E-01,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YBR072C-A,YBR072C-A,2,355387,355225,2.0839,0,1.00E+00,1.7763,0,1.00E+00,3.3878,1,9.66E-01,1.8768,0,1.00E+00,2.1094,0,1.00E+00,2.1144,1,8.79E-01,1.836,0,1.00E+00,1.7306,0,1.00E+00,1.5977,1,7.98E-01,3.4401,6,1.35E-01,2.5979,0,1.00E+00,1.4209,0,1.00E+00,1.4065,0,1.00E+00,1.1663,0,1.00E+00,1.3854,0,1.00E+00,1.1762,0,1.00E+00,2.2029,0,1.00E+00,2.5113,0,1.00E+00,1.6266,0,1.00E+00,1.3749,0,1.00E+00,1.4175,0,1.00E+00,1.4542,0,1.00E+00,1.9959,2,5.93E-01,1.6916,0,1.00E+00,1.5557,0,1.00E+00,1.8414,1,8.41E-01,1.2261,0,1.00E+00,1.5068,0,1.00E+00
YBR073W,RDH54,2,355579,358353,2.6258,0,1.00E+00,2.1645,1,8.85E-01,4.5817,1,9.90E-01,2.3152,0,1.00E+00,2.6641,1,9.30E-01,2.6715,0,1.00E+00,2.254,0,1.00E+00,2.0959,0,1.00E+00,1.8966,1,8.50E-01,4.6601,4,6.84E-01,3.3968,5,2.55E-01,1.6313,0,1.00E+00,1.6098,0,1.00E+00,1.2494,0,1.00E+00,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,0,1.00E+00,3.267,0,1.00E+00,1.9399,0,1.00E+00,1.5623,1,7.90E-01,1.6262,0,1.00E+00,1.6813,0,1.00E+00,2.4939,2,7.11E-01,2.0374,0,1.00E+00,1.8336,0,1.00E+00,2.2622,0,1.00E+00,1.3392,0,1.00E+00,1.7603,0,1.00E+00
YBR074W,YBR074W,2,358651,361581,5.3355,2,9.69E-01,4.1052,0,1.00E+00,10.5511,0,1.00E+00,4.5072,0,1.00E+00,5.4377,0,1.00E+00,5.4574,0,1.00E+00,4.3439,0,1.00E+00,3.9223,0,1.00E+00,3.3909,1,9.66E-01,10.7603,6,9.57E-01,7.3915,4,9.36E-01,2.6836,4,2.82E-01,2.6261,0,1.00E+00,1.6651,0,1.00E+00,2.5417,1,9.21E-01,1.7047,1,8.18E-01,5.8115,1,9.97E-01,7.0453,0,1.00E+00,3.5065,2,8.65E-01,2.4995,1,9.18E-01,2.67,0,1.00E+00,2.8168,1,9.40E-01,4.9837,3,8.74E-01,3.7663,1,9.77E-01,3.223,2,8.32E-01,4.3658,2,9.32E-01,1.9045,1,8.51E-01,3.0274,0,1.00E+00
YBR076W,ECM8,2,362738,363757,1.5419,1,7.86E-01,1.3882,0,1.00E+00,2.1939,1,8.89E-01,1.4384,1,7.63E-01,1.5547,0,1.00E+00,1.5572,1,7.89E-01,1.418,0,1.00E+00,1.3653,0,1.00E+00,1.2989,0,1.00E+00,2.22,2,6.50E-01,1.7989,1,8.35E-01,1.2104,0,1.00E+00,1.2033,2,3.39E-01,1.0831,0,1.00E+00,1.1927,0,1.00E+00,1.0881,0,1.00E+00,1.6014,0,1.00E+00,1.7557,3,2.58E-01,1.3133,0,1.00E+00,1.1874,2,3.33E-01,1.2087,1,7.01E-01,1.2271,0,1.00E+00,1.498,0,1.00E+00,1.3458,2,3.89E-01,1.2779,1,7.21E-01,1.4207,0,1.00E+00,1.1131,0,1.00E+00,1.2534,0,1.00E+00
YBR076C-A,YBR076C-A,2,363980,363714,10.7548,5,9.82E-01,7.9867,5,9.00E-01,22.4899,10,9.99E-01,8.8911,3,9.93E-01,10.9849,9,7.67E-01,11.0292,8,8.59E-01,8.5239,1,1.00E+00,7.5751,11,1.44E-01,6.3795,0,1.00E+00,22.9606,23,5.24E-01,15.3808,22,6.54E-02,4.7881,7,2.08E-01,4.6588,7,1.90E-01,2.4964,2,7.12E-01,4.4688,11,6.35E-03,2.5856,3,4.78E-01,11.826,36,1.20E-08,14.602,12,7.87E-01,6.6396,10,1.35E-01,4.3738,5,4.44E-01,4.7575,1,9.91E-01,5.0878,5,5.75E-01,9.9633,9,6.63E-01,7.2243,13,3.34E-02,6.0017,6,5.55E-01,8.5729,8,6.24E-01,3.0352,0,1.00E+00,5.5616,5,6.52E-01
YBR077C,SLM4,2,364656,364168,12.3806,6,9.84E-01,9.1512,6,8.93E-01,26.0716,13,9.98E-01,10.2063,4,9.91E-01,12.649,10,8.10E-01,12.7007,15,2.95E-01,9.7779,0,1.00E+00,8.671,4,9.73E-01,7.2761,1,9.99E-01,26.6207,19,9.49E-01,17.7776,23,1.33E-01,5.4194,8,1.81E-01,5.2686,3,8.96E-01,2.7458,3,5.18E-01,5.047,14,7.62E-04,2.8499,0,1.00E+00,13.6303,34,2.47E-06,16.869,15,7.09E-01,7.5795,7,6.33E-01,4.9362,5,5.48E-01,5.3837,0,1.00E+00,5.7691,6,5.17E-01,11.4572,6,9.72E-01,8.2616,18,2.24E-03,6.8353,4,9.09E-01,9.8351,9,6.48E-01,3.3744,0,1.00E+00,6.3219,6,6.05E-01
YBR078W,ECM33,2,365486,367223,11.8387,6,9.78E-01,8.763,4,9.75E-01,24.8777,9,1.00E+00,9.7679,4,9.88E-01,12.0943,8,9.15E-01,12.1436,8,9.17E-01,9.3599,0,1.00E+00,8.3057,4,9.66E-01,6.9772,0,1.00E+00,25.4007,19,9.20E-01,16.9787,21,1.93E-01,5.209,6,4.21E-01,5.0653,3,8.81E-01,2.6627,3,4.97E-01,4.8542,13,1.57E-03,2.7618,2,7.62E-01,13.0288,35,3.47E-07,16.1133,12,8.79E-01,7.2662,8,4.41E-01,4.7487,4,6.98E-01,5.1749,0,1.00E+00,5.542,5,6.49E-01,10.9593,6,9.62E-01,7.9158,15,1.59E-02,6.5574,4,8.92E-01,9.4144,8,7.22E-01,3.2613,0,1.00E+00,6.0684,5,7.24E-01
YBR079C,RPG1,2,370640,367746,3.1677,0,1.00E+00,2.5526,0,1.00E+00,5.7755,0,1.00E+00,2.7536,0,1.00E+00,3.2189,2,8.31E-01,3.2287,0,1.00E+00,2.672,0,1.00E+00,2.4611,1,9.15E-01,2.1954,0,1.00E+00,5.8801,3,9.32E-01,4.1957,1,9.85E-01,1.8418,0,1.00E+00,1.8131,0,1.00E+00,1.3325,0,1.00E+00,1.7708,0,1.00E+00,1.3524,0,1.00E+00,3.4058,0,1.00E+00,4.0227,5,3.76E-01,2.2532,0,1.00E+00,1.7497,1,8.26E-01,1.835,0,1.00E+00,1.9084,0,1.00E+00,2.9919,0,1.00E+00,2.3832,1,9.08E-01,2.1115,0,1.00E+00,2.6829,0,1.00E+00,1.4523,0,1.00E+00,2.0137,0,1.00E+00
YBR080C,SEC18,2,373253,370977,2.0839,1,8.76E-01,1.7763,0,1.00E+00,3.3878,0,1.00E+00,1.8768,0,1.00E+00,2.1094,3,3.53E-01,2.1144,3,3.54E-01,1.836,0,1.00E+00,1.7306,0,1.00E+00,1.5977,0,1.00E+00,3.4401,3,6.68E-01,2.5979,2,7.32E-01,1.4209,0,1.00E+00,1.4065,0,1.00E+00,1.1663,0,1.00E+00,1.3854,0,1.00E+00,1.1762,0,1.00E+00,2.2029,1,8.90E-01,2.5113,4,2.45E-01,1.6266,3,2.24E-01,1.3749,0,1.00E+00,1.4175,0,1.00E+00,1.4542,1,7.66E-01,1.9959,0,1.00E+00,1.6916,0,1.00E+00,1.5557,0,1.00E+00,1.8414,0,1.00E+00,1.2261,0,1.00E+00,1.5068,0,1.00E+00
YBR081C,SPT7,2,377614,373616,4.7935,3,8.57E-01,3.7171,5,3.16E-01,9.3572,2,9.99E-01,4.0688,1,9.83E-01,4.883,24,5.11E-10,4.9002,18,4.14E-06,3.926,0,1.00E+00,3.557,1,9.71E-01,3.092,0,1.00E+00,9.5402,14,1.04E-01,6.5925,10,1.31E-01,2.4731,0,1.00E+00,2.4229,2,6.97E-01,1.5819,1,7.94E-01,2.349,0,1.00E+00,1.6166,1,8.01E-01,5.2101,1,9.95E-01,6.2897,37,4.44E-16,3.1932,0,1.00E+00,2.3121,1,9.01E-01,2.4612,3,4.46E-01,2.5897,1,9.25E-01,4.4857,10,1.68E-02,3.4205,4,4.46E-01,2.9451,1,9.47E-01,3.945,3,7.54E-01,1.7915,1,8.33E-01,2.774,2,7.64E-01
YBR082C,UBC4,2,379532,378991,16.1742,45,3.02E-09,11.8682,26,2.61E-04,34.4288,88,2.69E-14,13.2751,10,8.52E-01,16.532,731,0.00E+00,16.601,610,0.00E+00,12.7038,21,2.02E-02,11.228,21,5.83E-03,9.3681,12,2.34E-01,35.1609,34,6.00E-01,23.3701,22,6.39E-01,6.8925,2,9.92E-01,6.6914,3,9.63E-01,3.3278,1,9.64E-01,6.3959,2,9.88E-01,3.4665,0,1.00E+00,17.8404,14,8.49E-01,22.1586,925,0.00E+00,9.7727,19,5.72E-03,6.2482,11,5.37E-02,6.8449,14,1.08E-02,7.3587,2,9.95E-01,14.943,13,7.28E-01,10.6822,10,6.24E-01,8.7804,9,5.15E-01,12.7801,17,1.49E-01,4.1658,3,7.85E-01,8.0958,5,9.06E-01
YBR083W,TEC1,2,381532,382992,28.0967,187,6.22E-15,20.4076,111,2.33E-15,60.6943,305,0.00E+00,22.9198,79,3.77E-15,28.7358,1360,0.00E+00,28.8589,1175,0.00E+00,21.8997,163,3.00E-15,19.2643,114,2.22E-15,15.943,23,5.65E-02,62.0017,57,7.54E-01,40.9466,41,5.17E-01,11.5224,17,7.74E-02,11.1633,3,9.99E-01,5.1568,3,8.88E-01,10.6356,27,1.86E-05,5.4045,4,7.87E-01,31.0721,31,5.29E-01,38.7832,1489,0.00E+00,16.6656,122,8.88E-16,10.3718,24,2.04E-04,11.4374,70,1.67E-15,12.3549,14,3.56E-01,25.8981,23,7.42E-01,18.2896,21,2.93E-01,14.8935,23,3.06E-02,22.036,11,9.97E-01,6.6533,3,9.62E-01,13.6711,20,6.39E-02
YBR084W,MIS1,2,383417,386344,6.9613,2,9.92E-01,5.2697,0,1.00E+00,14.1327,4,1.00E+00,5.8224,0,1.00E+00,7.1019,50,5.55E-16,7.129,12,5.94E-02,5.5979,2,9.76E-01,5.0181,8,1.35E-01,4.2875,0,1.00E+00,14.4204,10,9.09E-01,9.7883,8,7.60E-01,3.3149,2,8.43E-01,3.2359,2,8.33E-01,1.9145,2,5.70E-01,3.1198,0,1.00E+00,1.969,0,1.00E+00,7.6159,6,7.71E-01,9.3123,57,8.88E-16,4.4464,3,8.20E-01,3.0618,1,9.53E-01,3.2962,4,4.19E-01,3.4981,1,9.70E-01,6.4776,5,7.74E-01,4.8037,1,9.92E-01,4.0566,6,2.24E-01,5.6279,7,3.34E-01,2.2437,0,1.00E+00,3.7876,2,8.92E-01
YBR084C-A,RPL19A,2,387624,386549,2.6258,0,1.00E+00,2.1645,1,8.85E-01,4.5817,2,9.43E-01,2.3152,1,9.01E-01,2.6641,5,1.32E-01,2.6715,3,4.99E-01,2.254,1,8.95E-01,2.0959,4,1.61E-01,1.8966,2,5.65E-01,4.6601,5,4.98E-01,3.3968,3,6.60E-01,1.6313,1,8.04E-01,1.6098,0,1.00E+00,1.2494,1,7.13E-01,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,1,9.39E-01,3.267,6,1.13E-01,1.9399,3,3.07E-01,1.5623,2,4.63E-01,1.6262,2,4.84E-01,1.6813,1,8.14E-01,2.4939,3,4.55E-01,2.0374,5,5.61E-02,1.8336,0,1.00E+00,2.2622,3,3.94E-01,1.3392,0,1.00E+00,1.7603,4,1.02E-01
YBR085W,AAC3,2,388347,389270,2.6258,1,9.28E-01,2.1645,1,8.85E-01,4.5817,1,9.90E-01,2.3152,1,9.01E-01,2.6641,2,7.45E-01,2.6715,2,7.46E-01,2.254,1,8.95E-01,2.0959,2,6.19E-01,1.8966,1,8.50E-01,4.6601,7,1.90E-01,3.3968,2,8.53E-01,1.6313,1,8.04E-01,1.6098,0,1.00E+00,1.2494,1,7.13E-01,1.5781,0,1.00E+00,1.2643,0,1.00E+00,2.8043,1,9.39E-01,3.267,5,2.31E-01,1.9399,4,1.32E-01,1.5623,2,4.63E-01,1.6262,2,4.84E-01,1.6813,0,1.00E+00,2.4939,4,2.41E-01,2.0374,3,3.33E-01,1.8336,0,1.00E+00,2.2622,4,1.93E-01,1.3392,0,1.00E+00,1.7603,4,1.02E-01
YBR085C-A,YBR085C-A,2,391527,391270,14.0064,19,1.18E-01,10.3156,18,1.88E-02,29.6532,51,2.30E-04,11.5215,8,8.87E-01,14.3132,10,9.05E-01,14.3723,10,9.07E-01,11.0318,5,9.85E-01,9.7669,23,2.14E-04,8.1726,7,7.07E-01,30.2808,28,6.85E-01,20.1744,20,5.45E-01,6.0507,3,9.40E-01,5.8784,5,6.98E-01,2.9953,3,5.76E-01,5.6251,9,1.17E-01,3.1142,6,9.59E-02,15.4346,8,9.86E-01,19.136,17,7.18E-01,8.5195,6,8.52E-01,5.4985,5,6.42E-01,6.0099,5,7.16E-01,6.4504,14,6.67E-03,12.9511,11,7.44E-01,9.299,10,4.52E-01,7.6689,14,2.54E-02,11.0973,12,4.32E-01,3.7136,3,7.17E-01,7.0821,11,1.04E-01
