ORF,name,chr,start,end,exp_0min,exp_7min,exp_15min,exp_22min,exp_30min,exp_45min,exp_60min
YJL087C,TRL1,10,272402,272743,0,-1.155546,-0.941089,-0.758371,-0.443062,-0.384701,-0.076973
YJL105W,SET4,10,223972,224971,0,-0.496304,-0.314441,-0.097324,0.469856,0.085561,0.879259
YJL111W,CCT7,10,207366,207793,0,-0.639711,-0.405738,-0.105908,0.054096,-0.208255,-0.222539
YKL028W,TFA1,11,384401,385400,0,0.262746,0.142288,0.149403,-0.311252,-0.621026,-0.31366
YKL033W-A,,11,373748,374147,0,-0.019897,0.037156,0.091876,-0.153994,-0.235771,0.062381
YKL051W,SFK1,11,340191,340956,0,0.591676,0.529558,0.523513,-0.1242,-0.633294,-0.45574
YKL056C,TMA19,11,334561,334966,0,0.095101,-0.631923,-0.945008,-1.090486,-0.581618,-0.196852
YKL074C,MUD2,11,295839,296075,0,-0.799997,-0.747548,-1.044524,-0.938317,-0.950781,-0.791834
YKL080W,VMA5,11,284100,284674,0,0.401528,0.299301,0.205839,0.202407,0.136972,0.405831
YKL103C,LAP4,11,247329,248328,0,1.224861,1.806252,1.959372,1.425372,0.340677,0.14216
YLR009W,RLP24,12,166082,166535,0,-2.975936,-3.699515,-3.204526,-2.193669,-1.270153,-0.772711
YLR015W,BRE2,12,174981,175225,0,-1.218548,-1.147046,-0.714273,-0.745999,-0.402137,-0.130042
YLR033W,RSC58,12,208501,208761,0,-0.238865,-0.384985,-0.236896,-0.142764,-0.050101,0.213608
YLR038C,COX12,12,225174,225427,0,-0.095502,0.608694,0.714721,0.839779,0.457959,0.454186
YLR056W,ERG3,12,253081,253861,0,-1.342252,-2.390909,-2.471815,-1.822611,-0.520375,0.233994
YLR080W,EMP46,12,287675,287916,0,0.314917,1.219026,1.385682,1.503369,0.795053,0.605579
YLR086W,SMC4,12,301990,302243,0,-0.822141,-0.713022,-0.612955,-0.464744,0.051775,0.448453
YLR384C,IKI3,12,892901,892992,0,-0.938079,-1.146309,-1.136802,-0.859467,-0.369196,-0.137643
YLR390W,ECM19,12,902660,903065,0,-0.452197,0.279677,0.418817,0.495428,0.096138,0.105651
YLR408C,,12,934251,934411,0,0.395758,1.092044,1.162584,0.95108,0.534449,0.559648
YLR412W,,12,947975,948364,0,-0.480106,-0.423031,-0.330182,-0.323985,-0.407129,-0.136275
YLR430W,SEN1,12,992728,993429,0,-0.521583,-0.389114,0.00156,0.150971,0.268692,0.407913
YLR436C,ECM30,12,1011242,1011618,0,0.503773,0.92879,0.944643,0.78606,0.476418,0.525587
YLR453C,RIF2,12,1042984,1043983,0,-0.482746,-0.122507,-0.016632,0.158141,0.457481,0.716589
YLR459W,GAB1,12,1056768,1057330,0,-0.379124,-0.107444,-0.083359,-0.120201,-0.145566,0.209962
YMR147W,,13,558523,559197,0,0.259444,0.376061,0.353768,0.076582,0.184238,0.240493
YMR168C,CEP3,13,599158,599351,0,-0.757158,-0.38264,-0.098472,-0.276594,-0.314534,-0.256758
YMR173W,DDR48,13,608139,608687,0,1.639263,2.203391,2.150051,2.081887,1.602158,1.294361
YMR190C,SGS1,13,645258,645655,0,-0.142704,0.070689,0.31833,0.244113,-0.078202,0.27544
YMR194W,RPL36A,13,650811,651143,0,-0.375636,-1.273662,-1.247573,-0.6346,0.048863,0.010807
YMR212C,EFR3,13,693043,693380,0,-0.65083,-0.422004,-0.152432,-0.139481,-0.150562,-0.154122
YMR218C,TRS130,13,706887,707132,0,-0.448603,-0.101197,0.281535,0.160909,0.060367,0.227437
YNL191W,DUG3,14,279896,280430,0,-0.171222,-0.285342,-0.363439,-0.433409,-0.706921,-0.30004
YNL197C,WHI3,14,269593,270274,0,-0.382788,-0.440386,-0.483857,-0.345478,-0.105533,0.118828
YNL215W,IES2,14,244171,244466,0,0.017531,0.459992,0.552029,0.580548,0.098022,0.022335
YNL221C,POP1,14,233695,234412,0,-1.167941,-1.35361,-0.971506,-0.631832,-0.58158,-0.345352
YNL239W,LAP3,14,199976,200567,0,-0.416594,0.164874,0.326885,0.5324,0.364598,0.423599
YNL245C,CWC25,14,186885,187169,0,-0.391009,-0.373884,-0.236432,-0.489549,-0.488478,-0.125761
YNL263C,YIF1,14,147840,148211,0,0.119203,0.506656,0.630244,0.608489,0.339414,0.647643
YNL269W,BSC4,14,137660,137697,0,0.958642,1.428563,0.666761,0.858111,-0.07245,-0.190501
YOL152W,FRE7,15,39747,40746,0,2.3028,0.546594,0.153098,0.624007,1.584035,2.114417
YOL158C,ENB1,15,21311,22310,0,-0.016694,-0.159074,-0.044801,-0.157573,-0.885639,-0.853447
YOR009W,TIR4,15,343334,344333,0,-0.537345,-0.364481,-0.096665,-0.019433,-0.152635,-0.009908
YOR033C,EXO1,15,394524,394836,0,0.23108,0.156788,0.191255,0.219711,0.571041,0.844024
YOR039W,CKB2,15,405387,405766,0,-0.022186,-0.412441,-0.352309,-0.510099,-0.851614,-0.36784
YOR057W,SGT1,15,431627,432186,0,0.348573,0.509799,0.599759,0.571103,0.248852,0.394118
YOR063W,RPL3,15,443687,444686,0,-0.351935,-0.993093,-1.135905,-0.704668,0.243922,0.587196
YOR361C,PRT1,15,1017649,1017876,0,-0.468305,-0.832137,-0.729363,-0.34604,0.102688,0.020642
YOR367W,SCP1,15,1025568,1026002,0,0.364092,0.790688,1.169269,1.177521,0.736012,0.748942
YOR385W,,15,1064039,1065038,0,-1.32249,-1.030147,-1.336267,-1.46815,-1.905259,-1.594986
YOR391C,HSP33,15,1079255,1080254,0,1.254123,2.984313,3.746715,3.538415,3.2324,3.244415
YPL015C,HST2,16,526881,527544,0,0.585345,0.909817,0.909879,0.650013,0.250042,0.14426
YPL021W,ECM23,16,510099,511098,0,0.291507,0.427969,0.163448,0.499307,-0.558707,-0.993954
YPL039W,,16,478998,479221,0,0.088523,0.268334,0.105041,0.056181,-0.003213,0.297273
YPL045W,VPS16,16,466940,467256,0,-0.029977,0.187257,0.147154,0.057582,-0.045459,0.137966
YPR062W,FCY1,16,676879,677161,0,-0.213169,-0.191852,-0.259435,-0.279823,-0.389051,-0.448229
YPR068C,HOS1,16,684351,684553,0,0.52681,0.290886,0.42544,0.298674,0.191054,0.434891
YPR086W,SUA7,16,709826,710098,0,-0.219397,-0.011881,-0.013896,-0.051535,-0.125525,-0.150632
YPR110C,RPC40,16,746834,747304,0,-1.455522,-2.369057,-2.343565,-1.959687,-1.231428,-1.127803
YPR116W,,16,758126,758645,0,-0.976776,-0.676956,-0.600511,-1.177577,-0.812091,-0.717896
YPR133W-A,TOM5,16,797206,797552,0,-0.519266,-0.213003,0.174282,0.467453,0.065771,0.01693
YPR137W,RRP9,16,802013,802354,0,-1.95421,-2.357705,-1.661346,-1.140318,-0.738081,-0.49621
YCL021W-A,,3,82619,83618,0,0.228657,0.046076,0.342173,0.621691,0.853003,0.624567
YGL258W-A,,7,8967,9161,0,0.371232,1.771264,1.143755,0.855906,1.190215,0.778948
YNL162W-A,,14,330073,330328,0,-0.561995,-0.366269,-0.334787,-0.167236,-0.124063,-0.045238
YBR034C,HMT1,2,305977,306269,0,-2.407294,-3.211686,-2.655384,-2.037593,-1.521185,-1.216266
YBR040W,FIG1,2,316510,316967,0,-0.740003,-0.684813,-1.384184,-2.689173,-1.787692,-0.303893
YBR058C,UBP14,2,356016,356322,0,-0.212855,0.134142,0.3197,0.468168,0.129854,0.457175
YBR082C,UBC4,2,407164,408163,0,-0.087716,0.082902,0.072563,0.328475,0.212199,0.245503
YBR087W,RFC5,2,423035,423758,0,-0.204376,-0.216362,-0.050178,-0.158367,-0.122626,0.621345
YBR104W,YMC2,2,449310,449660,0,-3.351987,-4.22785,-2.837882,-2.858264,-1.471051,-0.799846
YBR110W,ALG1,2,458356,458865,0,0.055539,0.318541,0.322716,0.187679,0.087421,0.115707
YCR042C,TAF2,3,205393,206256,0,0.078115,0.389528,0.501118,0.563683,0.143806,0.467443
YCR048W,ARE1,3,211540,211923,0,-0.04024,0.231796,0.020184,0.131021,-0.214443,0.295302
YCR069W,CPR4,3,238771,239049,0,0.345977,0.875514,0.820311,0.845268,0.466498,0.699513
YCR076C,,3,250042,250234,0,0.36737,0.959691,0.961187,1.015689,0.448763,0.784243
YCR095C,,3,289255,289635,0,-0.455767,-0.145962,0.084898,0.242858,0.058667,0.735774
YCR101C,,3,303027,304026,0,0.414722,1.109407,1.009209,0.983935,0.199491,-0.663489
YDL017W,CDC7,4,423507,424205,0,0.477178,0.50504,0.169905,-0.073745,-0.079863,0.215745
YDR068W,DOS2,4,583462,583709,0,-0.136216,0.157498,0.212307,0.414071,0.207681,0.27016
YDR074W,TPS2,4,592944,593888,0,2.516772,3.816608,3.260772,2.939031,2.083415,1.735556
YDR092W,UBC13,4,628871,629870,0,0.136529,0.535327,0.61417,0.623053,0.440617,0.551304
YDR098C,GRX3,4,645031,645853,0,-0.164458,-0.250219,-0.305276,-0.206592,-0.29356,-0.094628
YDR120C,TRM1,4,693257,693580,0,-1.972748,-2.432536,-1.44548,-1.421339,-1.101308,-0.076642
YDR138W,HPR1,4,730245,730572,0,-0.152523,-0.067893,0.082817,0.249414,-0.199324,0.035814
YDR144C,MKC7,4,746097,746733,0,-1.357182,-1.420907,-1.066065,-0.910443,-0.411202,-0.038169
YDR434W,GPI17,4,1330227,1331226,0,-0.12366,0.110511,0.128982,-0.000189,-0.063935,0.395338
YDR440W,DOT1,4,1341483,1342482,0,-1.391149,-1.500738,-1.061615,-0.433242,-0.11705,-0.985898
YDR458C,,4,1382037,1382309,0,-0.44801,0.155556,0.363519,0.819604,0.283371,0.488057
YDR464W,SPP41,4,1388365,1388861,0,-0.609234,-0.735258,-0.841607,-0.432876,0.114256,0.517432
YDR482C,CWC21,4,1420829,1421147,0,-0.496807,-0.3865,-0.419449,-0.290702,-0.584712,0.196311
YDR488C,PAC11,4,1430780,1431002,0,-0.126556,-0.140652,-0.279069,-0.326868,0.180351,0.727477
YDR506C,,4,1461545,1462348,0,-0.500861,0.47703,0.550433,0.540369,0.166724,-1.568857
YDR512C,EMI1,4,1471054,1471538,0,0.741978,1.034528,0.884658,1.155743,1.310439,0.572556
YER176W,ECM32,5,540809,541684,0,-0.063193,-0.210898,-0.405522,-0.1835,-0.374157,-0.51889
YER182W,,5,551520,552519,0,0.335971,1.149028,0.945693,0.854723,0.18419,-0.026756
YFL007W,BLM10,6,123101,123473,0,0.168878,0.942652,1.50519,1.679829,0.74897,0.130694
YFL012W,,6,109924,110640,0,0.30806,0.639312,0.82209,1.671143,0.520733,0.02701
YFL028C,CAF16,6,80212,80417,0,-0.594882,-0.159781,-0.074812,0.083039,-0.063248,0.260961
YFL034C-A,RPL22B,6,64932,65475,0,-2.132604,-2.542921,-1.523875,-0.877787,-0.494365,0.432062
YFL051C,,6,30541,31540,0,-1.045743,0.168034,-0.308446,-0.20208,-0.032365,0.780425
YFL057C,AAD16,6,14764,14793,0,-0.054019,0.083511,0.101593,0.380951,0.223889,0.274672
YGL234W,"ADE5,7",7,55815,56481,0,-1.236464,-1.264177,-1.33225,0.043068,0.483816,-0.410481
YGL240W,DOC1,7,48459,48612,0,-0.253372,0.214938,0.45075,0.603854,0.356914,-0.337336
YGL258W,VEL1,7,10110,11109,0,0.545133,1.161868,0.946516,2.192163,1.289479,0.79604
YGR001C,,7,498039,498480,0,-0.311229,-0.387017,-0.555217,-0.431498,-0.223676,-0.086366
YGR019W,UGA1,7,524684,525232,0,1.151753,1.702006,2.220106,2.015909,1.481727,1.524914
YHL046C,,8,12284,13283,0,-0.106699,-0.332157,-0.37111,-0.091226,0.585863,0.407451
YHR001W-A,QCR10,8,107362,107819,0,0.669071,1.798771,1.671365,1.584018,0.817669,1.00714
YHR018C,ARG4,8,141395,141886,0,-1.798699,-1.676654,-1.567458,-1.126057,-0.47038,0.177985
YHR023W,MYO1,8,151298,151657,0,-0.453257,-0.523346,-0.295343,-0.250744,0.153818,0.595751
YHR040W,BCD1,8,187671,187915,0,-1.404846,-1.581448,-1.447498,-0.825307,-0.62583,0.147056
YHR046C,INM1,8,198278,198732,0,-1.013637,-0.834333,-0.495164,-0.06281,0.144919,0.684563
YHR063C,PAN5,8,225171,225526,0,-0.747037,-0.432205,-0.39986,-0.231463,-0.31725,-0.052771
YHR069C,RRP4,8,234660,234882,0,-0.524207,-0.740959,-0.872923,-0.788901,-0.482782,-0.207419
YIL146C,ECM37,9,75774,76354,0,0.649774,0.431612,0.371939,-0.838538,-0.97771,-0.397288
YIL152W,,9,56379,56544,0,0.018436,0.464575,0.168011,-0.471274,-0.608131,-0.338409
YIL170W,HXT12,9,19844,19846,0,-1.157289,-0.715272,-0.091474,0.518944,0.189918,0.145849
YIL176C,,9,9156,9183,0,0.210513,-0.238515,-0.319438,-0.885644,-0.651621,-0.482953
YIR017C,MET28,9,384117,384606,0,1.219277,1.274944,1.038063,0.244666,-0.314219,-0.085499
YIR022W,SEC11,9,398723,398729,0,-0.350745,0.036187,0.126808,0.179168,0.085958,0.331172
YJL002C,OST1,10,434567,435078,0,0.233126,0.321041,0.259129,0.032198,0.069187,0.079923
YJR085C,,10,585352,585982,0,0.410927,0.900159,0.971158,1.169104,0.794043,0.788503
YJR091C,JSN1,10,598251,598649,0,0.475377,1.217792,0.943822,0.82368,0.294382,0.147001
YJR108W,ABM1,10,628240,628626,0,-0.111574,0.321003,0.21019,0.149121,0.209711,0.196767
YJR132W,NMD5,10,669208,669436,0,-0.82151,-0.882794,-0.749311,-0.406732,-0.147633,0.129913
YJR137C,ECM17,10,683201,684200,0,-0.040557,0.09429,0.30818,0.388031,0.008327,1.244909
YJR155W,AAD10,10,726739,727319,0,0.365578,0.980723,1.391171,2.210029,1.024736,0.742353
YJR161C,COS5,10,743915,744817,0,-0.623587,0.180663,0.248032,0.243699,-0.128642,0.176423
YKR075C,,11,580393,581392,0,-0.457036,-0.181705,-0.369503,-0.730184,0.546933,1.379035
YKR081C,RPF2,11,592183,592467,0,-3.089395,-3.951555,-2.909056,-2.562856,-1.365416,-0.8731
YKR099W,BAS1,11,634817,635488,0,-1.847808,-2.582814,-1.922187,-1.761762,-0.771404,-0.163588
YKR105C,,11,660103,661102,0,-0.595187,-0.211415,0.156218,0.635408,0.362043,0.899419
YLL017W,,12,111574,112232,0,0.533466,0.75268,0.872826,0.872347,0.394537,1.045173
YLL022C,HIF1,12,100201,100946,0,-0.682285,-1.327948,-1.850868,-1.949434,-0.826526,0.480521
YLL040C,VPS13,12,63645,64061,0,0.22023,0.939005,1.549591,1.71469,0.856689,0.778747
YLL046C,RNP1,12,47463,47858,0,0.760695,1.08692,1.106662,0.349934,1.092272,-0.21604
YLR278C,,12,704027,704495,0,-1.40903,-1.000723,-0.670324,-0.519772,-0.320871,-0.160911
YLR284C,ECI1,12,707043,707362,0,0.686444,1.403005,1.309582,1.25244,1.05061,0.618778
YLR301W,,12,730303,730826,0,-0.195722,-0.267789,-0.186548,0.047101,-0.004695,-0.167411
YLR307W,CDA1,12,744853,745621,0,-0.000681,0.096685,-0.111421,-2.08416,-1.9141,-0.986186
YLR324W,PEX30,12,778952,779214,0,0.256418,0.976254,1.14602,1.214391,0.301529,0.23459
YLR330W,CHS5,12,787333,787663,0,0.343974,0.614568,0.560356,0.635987,0.321109,0.391985
YLR348C,DIC1,12,827873,828729,0,0.014713,0.794491,1.430156,1.880182,1.241151,1.549661
YLR354C,TAL1,12,837357,838065,0,-0.035103,0.038536,0.04464,0.217896,0.399278,0.458906
YMR045C,,13,362627,363363,0,0.005207,-0.03956,0.145684,0.491615,0.630405,0.546161
YMR050C,,13,378325,379324,0,0.031732,-0.010882,0.06598,0.46593,0.634704,0.549048
YMR067C,UBX4,13,405573,406303,0,0.257391,0.72642,0.917248,0.958693,0.22871,-0.093025
YMR073C,,13,412873,413035,0,0.258614,0.515599,0.491765,0.431811,0.15085,0.356968
YMR089C,YTA12,13,448086,449085,0,-0.399222,0.115315,0.534746,0.704663,0.42947,0.39973
YMR095C,SNO1,13,457959,458407,0,-0.924566,-1.009027,-0.745739,-0.18186,0.412896,-4.014256
YMR113W,FOL3,13,494494,494997,0,-0.13645,0.158975,0.036911,0.04322,-0.26187,0.008895
YMR119W,ASI1,13,504332,505331,0,-0.485673,0.302644,0.351105,0.473524,0.002647,-0.070351
YNL083W,SAL1,14,471102,471376,0,0.504415,0.177069,0.081793,-0.891678,-1.327529,-0.64314
YNL107W,YAF9,14,419826,420097,0,0.322021,0.18468,0.037872,-0.767671,-0.773724,-0.530579
YNL113W,RPC19,14,412053,412770,0,-1.836636,-2.098204,-1.840134,-2.233798,-1.608933,-1.057325
YNL131W,TOM22,14,378491,378766,0,-0.203708,-0.350788,-0.177612,-0.343313,-0.493381,-0.279412
YNL137C,NAM9,14,370056,370368,0,0.175903,0.327091,0.549824,0.206611,-0.036796,0.13442
YNL155W,,14,341968,342515,0,1.050749,1.600212,1.802753,1.564871,0.677344,-0.010562
YNL161W,CBK1,14,332154,332596,0,0.238613,0.265665,0.38644,0.144092,-0.16316,-0.044247
YOL047C,,15,242746,243495,0,2.742723,4.387351,3.046457,2.796889,3.584681,2.51236
YOL052C-A,DDR2,15,231754,232444,0,3.724205,5.217133,4.645909,5.139713,4.355163,3.964676
YOL070C,,15,198725,198941,0,-0.492711,-0.241093,-0.169208,-0.036097,-0.139463,0.036774
YOL077C,BRX1,15,186723,187023,0,-2.360528,-3.923651,-4.38589,-3.126623,-1.283841,-0.759786
YOL094C,RFC4,15,142555,142814,0,-0.544737,-0.342199,-0.18444,-0.066828,-0.303299,0.028725
YOL100W,PKH2,15,128236,129235,0,0.78813,1.063031,1.028204,0.815043,0.483977,0.655769
YOL116W,MSN1,15,99487,99807,0,0.138949,0.505826,0.411674,0.180284,-0.135148,0.131261
YOL122C,SMF1,15,91419,92025,0,-0.379614,-0.400859,-0.002628,0.160486,0.349586,0.468433
YOR257W,CDC31,15,810681,811005,0,-0.43709,-0.152195,-0.320601,-0.29947,-0.44284,-0.259844
YOR281C,PLP2,15,847127,847450,0,-0.562419,-0.66404,-0.592931,-0.358693,-0.224891,-0.159948
YOR287C,,15,851837,852118,0,-1.305262,-2.452874,-2.410974,-1.893879,-1.209717,-0.836541
YOR304C-A,,15,888747,889018,0,-0.316038,-0.61486,-0.553667,-0.367842,-0.313995,0.023986
YOR327C,SNC2,15,931077,931798,0,-0.933962,-0.669597,-0.760434,-0.94949,-0.916867,-0.541289
YPL241C,CIN2,16,96259,96496,0,-1.092722,-2.012078,-1.938846,-2.069785,-0.878073,0.106579
YPL247C,,16,84197,84509,0,1.446965,2.475348,1.564741,1.264982,0.818307,0.717499
YPL262W,FUM1,16,46506,47335,0,0.047174,0.604438,0.751306,0.952296,0.508406,0.320247
YPL268W,PLC1,16,34947,35235,0,-0.298396,-0.1051,0.010766,0.21893,0.010938,0.104083
YPR002W,PDH1,16,557834,558381,0,0.55892,1.043505,1.69452,1.218936,1.215891,1.529138
YPR008W,HAA1,16,572015,573014,0,0.198635,0.550229,0.56288,0.395948,0.228331,0.118899
YPR026W,ATH1,16,614555,615375,0,2.105053,2.883122,3.050856,2.911219,1.768425,1.584518
YPR032W,SRO7,16,633758,634119,0,-0.042027,0.436625,0.654032,0.527387,0.203234,0.167035
YJL061W,NUP82,10,319692,319931,0,-0.451529,-0.412276,-0.248885,-0.201474,-0.196935,-0.195531
YBL092W,RPL32,2,44975,45974,0,-0.046168,-0.837219,-1.298059,-0.986473,-0.08964,0.245066
YAL023C,PMT2,1,108553,108878,0,-0.534512,-0.539416,-0.656099,-0.480523,0.020635,0.238735
YAL029C,MYO4,1,92272,92901,0,-0.283199,-0.41633,-0.217205,-0.094173,-0.037721,-0.018156
YAL044C,GCV3,1,58464,58696,0,-0.664169,-0.375104,-0.197922,0.349879,0.797577,0.527183
YAL051W,OAF1,1,48251,48564,0,0.232782,0.820042,1.059058,0.910679,0.544916,0.299197
YBR128C,ATG14,2,494110,494347,0,1.221665,1.544889,1.11278,1.367477,0.975537,0.964586
YBR152W,SPP381,2,545972,546369,0,0.235676,-0.221638,-0.193308,-0.269253,-0.456301,-0.437839
YBR158W,AMN1,2,555543,556542,0,-1.136061,-1.393341,-0.964985,-0.894496,-0.767321,-0.815483
YBR175W,SWD3,2,582167,582402,0,0.585429,0.4793,0.322988,0.27923,-0.042032,-0.171826
YBR181C,RPS6B,2,592770,593501,0,-0.10984,-1.070564,-1.521271,-0.937869,0.136082,0.218972
YBR199W,KTR4,2,618518,618903,0,0.575757,1.092725,0.964032,0.863857,0.57731,0.261043
YBR205W,KTR3,2,633376,633616,0,-0.754755,-0.52681,-0.450554,-0.398727,-0.38711,-0.342877
YDL035C,GPR1,4,392055,392656,0,0.189422,0.769981,0.84657,0.874258,0.339791,0.370814
YDL058W,USO1,4,344953,345664,0,-0.555355,-0.423602,-0.160179,-0.100611,-0.036129,0.040068
YDL064W,UBC9,4,337301,337486,0,-0.786912,-0.618577,-0.535208,-0.333881,-0.099474,0.110325
YDL082W,RPL13A,4,307789,308423,0,-0.508034,-1.503589,-1.620847,-0.799765,0.111314,0.064398
YDL088C,ASM4,4,300004,300214,0,0.167418,0.191031,0.0243,-0.06297,-0.075103,-0.183841
YDL106C,PHO2,4,271902,272389,0,0.078689,0.576276,0.255113,0.102875,-0.018801,-0.036847
YDL112W,TRM3,4,258555,258914,0,-1.06983,-1.496881,-1.580889,-1.303679,-0.52449,-0.312756
YDR162C,NBP2,4,781096,781418,0,-0.129203,0.306667,0.242652,0.207288,-0.144128,0.017391
YDR168W,CDC37,4,790064,790322,0,0.031636,0.442825,0.72045,0.936004,0.502264,-0.020509
YDR184C,ATC1,4,831509,831929,0,-1.360183,-2.548733,-1.545173,-1.733062,-0.83933,-0.51673
YDR190C,RVB1,4,841991,842332,0,-0.707579,-0.710732,-0.780858,-0.530935,-0.129209,-0.183347
YDR208W,MSS4,4,867517,868218,0,0.108864,0.411954,0.280151,0.382655,0.30716,0.291812
YDR210W-D,,4,884922,883921,0,0.194166,0.193258,0.100655,0.426742,0.522473,0.407758
YDR228C,PCF11,4,923801,924779,0,0.50764,0.585216,0.542923,0.536334,0.29519,0.205344
YDR234W,LYS4,4,930351,931122,0,-1.329908,-1.998072,-2.227993,-1.616957,-0.182705,0.011477
YDR529C,QCR7,4,1496539,1496781,0,0.272564,1.020767,1.021442,0.968437,0.448863,0.479708
YEL030W,ECM10,5,93905,94643,0,0.06991,0.418242,0.435455,0.344023,0.300232,0.233363
YEL036C,ANP1,5,84553,85045,0,-0.193342,-0.466558,-0.608243,-0.358073,0.069024,0.187532
YEL054C,RPL12A,5,53219,53901,0,-0.490087,-1.569545,-1.633784,-0.918824,-0.006942,-0.017414
YFR007W,,6,158293,159292,0,0.358543,0.770363,1.019838,0.972535,0.283944,0.325989
YFR013W,IOC3,6,169302,169913,0,-0.129064,0.091795,0.195824,-0.109541,-0.520443,-0.124883
YFR030W,MET10,6,212961,213299,0,0.523331,0.322789,-0.024949,0.025006,-0.326361,0.417259
YFR034C,PHO4,6,225947,226109,0,-0.513049,-0.429767,-0.266286,-0.375137,-0.448564,-0.181904
YFR052W,RPN12,6,251790,252491,0,0.242523,0.735065,0.923582,0.932034,0.226766,-0.267572
YGL001C,ERG26,7,496507,497137,0,0.203525,0.366312,0.180578,0.189657,0.045466,-0.071238
YGL019W,CKB1,7,457875,458160,0,-0.366687,0.091532,0.215701,0.32479,0.16942,0.062387
YGL025C,PGD1,7,449963,450202,0,-0.23891,0.168323,0.085835,0.026511,-0.234811,-0.07058
YGR063C,SPT4,7,617829,618081,0,-0.894172,-0.641654,-0.465417,-0.328426,-0.314511,-0.256664
YGR087C,PDC6,7,652986,653985,0,2.671351,3.550278,3.641162,4.002872,2.594854,1.923414
YGR093W,,7,669911,670391,0,-0.568291,-0.551698,-0.54853,-0.510144,-0.220022,0.120294
YGR109W-B,,7,706614,707613,0,0.28145,0.32022,0.149335,-0.068542,-0.143935,-0.108985
YGR132C,PHB1,7,756458,756901,0,0.242915,0.836215,1.074876,1.089884,0.525026,0.002745
YGR138C,TPO2,7,765612,766611,0,-0.444922,-0.259525,0.341622,0.280256,-0.269222,-0.513312
YHR085W,IPI1,8,276241,276764,0,-1.594283,-3.008191,-2.738026,-2.26863,-1.449897,-1.008834
YHR091C,MSR1,8,286772,287131,0,-0.065692,0.142392,0.408988,0.343858,-0.080376,-0.037533
YHR109W,CTM1,8,330062,330311,0,-0.256468,0.083824,0.316228,0.213291,-0.096966,0.021338
YHR115C,DMA1,8,341362,341667,0,0.129266,0.431307,0.481462,0.434016,0.223559,0.032529
YHR132W-A,,8,369796,370055,0,0.021375,0.695192,0.635039,0.644114,0.351667,-0.014284
YHR138C,,8,377702,378221,0,1.326268,2.121367,1.724389,1.989554,0.812305,0.313118
YHR154W,RTT107,8,402684,402967,0,-1.071191,-2.346601,-2.891455,-2.596456,-0.174854,0.445831
YHR160C,PEX18,8,420075,420375,0,0.827843,1.9003,2.068062,1.821466,1.583778,1.46057
YJL020C,BBC1,10,402327,402813,0,0.564122,1.59507,1.665125,1.942216,0.93293,0.353749
YJL026W,RNR2,10,392165,392319,0,-0.083827,-0.117933,-0.307166,-0.366037,-0.157217,0.237793
YJL045W,,10,354940,355939,0,0.233809,1.431011,2.257568,2.44045,1.955012,1.187661
YJL051W,,10,339185,339702,0,-0.490856,-0.443769,-0.474078,-0.004935,0.471028,0.703759
YJL069C,UTP18,10,312623,312932,0,-2.360005,-2.732413,-2.148462,-1.468937,-0.853241,-0.65404
YJL093C,TOK1,10,256729,257339,0,0.574124,1.0082,0.841908,0.562789,0.441546,0.275099
YJL099W,CHS6,10,239003,239330,0,-0.329804,0.277351,0.494852,0.425843,0.243576,0.011566
YKL016C,ATP7,11,407633,408187,0,-0.033575,0.70892,0.893426,0.785333,0.289173,0.428247
YKL022C,CDC16,11,396892,396987,0,0.279936,-0.493246,-0.241132,-0.908754,-1.174973,-0.587797
YKL039W,PTM1,11,361472,362265,0,0.278954,0.662627,0.791522,0.68829,0.203218,-0.191015
YKL045W,PRI2,11,352269,353137,0,-0.310657,-0.629268,-0.896551,-1.088118,-0.213614,0.258119
YKL062W,MSN4,11,321873,322872,0,-0.327648,0.298058,0.212748,-0.127549,-0.511206,-0.509038
YKL068W,NUP100,11,309087,309843,0,-0.766993,-0.929424,-0.753228,-0.975394,-0.867867,-0.483327
YKL086W,SRX1,11,277508,277925,0,0.997417,0.426427,0.612343,-0.16818,-1.31757,-1.218731
YKL092C,BUD2,11,269105,269363,0,0.210672,0.204083,0.052544,-0.539601,-0.538149,-0.192377
YLL064C,,12,13446,14445,0,-0.438395,-0.574352,-0.444983,-0.681643,-0.060681,-0.001526
YLR003C,,12,157730,157933,0,-1.564796,-2.448023,-2.514256,-1.974183,-0.915981,-0.581607
YLR021W,,12,183404,183621,0,-0.67774,-0.408738,-0.291326,-0.324996,-0.349192,-0.222475
YLR027C,AAT2,12,198087,199086,0,0.200786,0.219656,0.299417,0.440544,0.491039,0.223978
YLR044C,PDC1,12,234083,235038,0,0.388331,-0.166527,-0.271854,0.153407,0.687238,0.934301
YLR050C,,12,246074,246325,0,-0.436292,-0.454353,-0.385774,-0.39809,-0.329837,-0.158221
YLR068W,FYV7,12,270711,271008,0,-1.517041,-2.002775,-1.689973,-1.385723,-0.855456,-0.701237
YLR074C,BUD20,12,282458,282928,0,-1.779644,-2.099336,-1.686169,-1.418537,-1.063831,-1.058162
YLR372W,SUR4,12,866783,867352,0,-1.589148,-2.812733,-2.778701,-2.22314,-0.794765,-0.237665
YLR378C,SEC61,12,877178,878177,0,-0.232026,-0.37304,-0.205723,-0.155129,-0.088216,0.237182
YLR396C,VPS33,12,912311,912550,0,0.257714,0.298378,0.315086,0.168743,-0.002381,0.00719
