ID,coding/noncoding,chromsome,Start Position,Stop Position,Strand,wild-type T4 min,wild-type T8  min,wild-type T12  min,wild-type T16  min,wild-type T20  min,wild-type T30 min,wild-type T40 min,wild-type T60 min,wild-type T30  min rep2,wild-type T30  min rep3,wild-type T30  min rep4,msn2/4ÆÆ t4  min,msn2/4ÆÆÊt8 min,msn2/4ÆÆ t12 min,msn2/4ÆÆÊt16 min,msn2/4ÆÆ t20 min,msn2/4ÆÆ t30 min,msn2/4ÆÆ t40 min, msn2/4ÆÆ t60 min,msn2/4ÆÆ t30 min rep2,msn2/4ÆÆÊt30  min rep3,msn2/4ÆÆ t30 min  rep4
YDR395W,coding,chr04,1263175,1266023,W,-0.26646,-0.65132,-0.35915,-0.68025,-1.13347,-1.38568,-1.49075,-0.48303,-0.75784,-1.18259,-2.181,0.03551,0.03109,-0.18958,-0.40404,-0.62884,-1.3977,-1.23625,-0.40857,-0.74706,-0.69271,-0.81271
YDR396W,coding,#N/A,#N/A,#N/A,#N/A,1.07896,1.50129,0.85289,0.86905,-0.36362,-1.48729,0.77447,-1.09204,NA,NA,0.45807,0.58636,0.13872,0.73577,0.23318,0.819,-0.61462,-0.25134,-0.2411,NA,0.81231,-0.73806
YDR397C,coding,chr04,1266963,1266851,C,-0.15945,-0.18592,-0.33458,-0.73735,-0.99774,-1.01514,-1.30253,-0.30641,-0.56846,-0.68993,-0.97233,-0.4668,-0.17229,-0.31286,-0.8725,-0.70556,-0.99797,-0.95564,-0.60114,-1.19011,-1.22617,-0.6585
YDR398W,coding,chr04,1267391,1269518,W,-0.5044,-0.49172,-1.06385,-1.73239,-2.29283,-3.06542,-2.44884,-0.54735,-1.74748,-2.77261,-3.5713,-0.2651,-0.47152,-0.81351,-0.99684,-1.97653,-2.7408,-2.46915,-0.39606,-2.32629,-1.41762,-1.95768
YDR399W,coding,chr04,1269975,1270807,W,-0.72699,-1.38002,-2.15334,-3.18659,-3.94482,-4.35787,-3.60135,-1.92683,-3.40077,-3.86608,-4.97266,-0.47926,-0.92161,-1.64935,-2.37575,-3.41938,-3.85175,-3.95626,-1.98605,-3.40347,-1.9591,-3.64596
YDR400W,coding,chr04,1270983,1272055,W,-0.14943,-0.10488,0.06949,-0.03685,-0.05676,-0.42168,-0.38553,0.12148,-0.44766,-0.52495,-0.81242,0.09792,0.18592,0.06637,0.2047,0.06466,-0.07717,0.00392,0.27986,-0.0558,0.02561,0.29082
YDR401W,coding,#N/A,#N/A,#N/A,#N/A,0.3308,0.4696,0.16699,0.55877,0.86346,0.29156,0.73977,-0.47643,-0.32385,0.48193,0.35939,0.36329,0.04864,0.29018,0.52431,-0.40259,0.73181,-0.2882,-0.20928,-0.09826,0.16107,-0.14876
YDR402C,coding,chr04,1273797,1272048,C,0.86513,1.36809,1.30152,1.94594,2.38263,1.88204,1.43123,0.3157,NA,NA,2.16425,0.76119,0.85562,0.9983,0.95892,0.88235,1.80878,1.14541,1.14541,-0.116,1.16094,-0.4299
YDR403W,coding,chr04,1274492,1276382,W,0.92889,0.78865,1.22002,1.78453,2.57854,3.13048,2.98614,2.15657,1.51307,2.75408,3.19659,0.82352,0.78118,0.93159,1.20311,1.12027,1.27714,0.70758,1.10658,0.60748,0.67672,0.8625
YDR404C,coding,chr04,1277363,1276563,C,-0.26032,-0.0474,0.03539,0.2559,-0.0356,-0.01366,0.20788,-0.39121,-0.16849,0.00345,-0.67005,-0.16982,-0.31475,-0.34995,-0.10475,-0.20743,-0.16258,-0.34806,-0.51522,-0.15187,-0.46193,0.19757
YDR405W,coding,chr04,1277567,1278519,W,0.18223,0.22099,0.60133,0.53372,0.62782,0.6405,0.10643,0.40383,0.96371,0.93807,0.61425,0.22608,0.12208,0.28176,0.16604,0.42309,0.38724,0.26423,0.0865,0.57957,-0.10944,1.24581
YDR406W,coding,chr04,1279087,1280119,W,-0.03238,0.1335,0.02632,0.60832,0.95479,1.49413,1.82737,1.115,0.68185,0.9714,0.92762,0.18551,-0.10066,-0.20817,0.15728,-0.24318,0.6828,0.59667,0.60451,0.52784,0.17468,0.2164
YDR406W-A,coding,#N/A,#N/A,#N/A,#N/A,NA,0.25882,0.33596,1.31117,1.31636,1.13845,2.19026,1.64977,NA,0.90698,0.32398,0.21307,0.71946,0.45307,-0.13978,-0.03125,0.28665,1.97751,0.69986,NA,1.06037,-1.19893
YDR407C,coding,chr04,1288011,1284139,C,-0.38964,-0.57328,-0.78536,-0.58657,-0.19223,0.23546,-0.02036,-0.24109,0.10531,-0.14551,-0.16598,0.01754,-0.2305,-0.44341,-0.28778,-0.00622,0.25262,0.44418,-0.09836,-0.07758,0.0066,0.01611
YDR408C,coding,chr04,1288923,1288251,C,-0.50843,-0.37732,-0.62526,-0.49442,-0.86235,-0.94046,-1.06837,-1.04437,-0.66452,-0.65106,-1.72538,-0.06748,-0.09056,-0.1586,-0.26222,-0.60921,-0.50627,-0.85549,-0.64005,0.06899,-0.84233,-0.20344
YDR409W,coding,chr04,1289399,1292359,W,-0.19366,-0.34668,-0.3964,-0.18301,0.16551,0.23844,-0.00181,0.02416,0.14867,0.13705,-0.27518,-0.00602,-0.29195,-0.32416,-0.28041,0.10393,0.23213,0.07919,-0.10312,0.02001,-0.30728,0.23164
YDR410C,coding,chr04,1293147,1292755,C,0.03546,0.33372,0.07619,0.32169,0.25184,0.40225,0.74526,0.61243,-0.05404,0.3269,-0.30588,-0.05838,-0.1564,-0.11576,0.06039,0.02819,0.48282,0.34055,0.3456,0.42887,-0.00391,0.69395
YDR411C,coding,chr04,1294435,1293299,C,-0.20972,-0.02713,-0.12634,0.14446,0.04881,0.29744,0.59746,0.12923,-0.21391,0.0574,-0.17337,0.11512,-0.12879,0.05183,0.09656,-0.31129,0.1514,0.13669,-0.15836,0.12243,-0.09549,0.09394
YDR412W,coding,chr04,1294615,1295551,W,-0.04226,-0.51865,-1.21688,-1.94946,-2.06616,-3.22071,-3.022,-1.16154,-1.50991,-2.43297,-2.84101,-0.84357,-1.21771,-1.28317,-1.43142,-2.01455,-2.52405,-2.06419,-0.83589,-2.45835,-1.47439,-2.10624
YDR413C,coding,#N/A,#N/A,#N/A,#N/A,1.16401,1.83843,0.55247,0.33856,0.61543,-0.17856,0.43735,-0.22659,NA,-0.61109,NA,0.88248,0.72236,0.41305,0.43384,-0.46916,0.42078,0.12087,-0.05322,-0.66632,-0.54044,-1.44699
YDR414C,coding,chr04,1296780,1295412,C,-0.1217,-0.29602,-0.677,-0.67166,-0.60276,-0.60458,-0.33715,-0.55018,-0.57888,-0.83269,-1.08065,-0.05919,-0.34949,-0.59156,-0.62358,-0.57177,-0.43282,-0.23451,-0.22606,-0.11716,-0.36002,-0.4869
YDR415C,coding,chr04,1298203,1295475,C,0.16577,0.14964,0.26476,0.23298,0.48054,0.42825,0.17747,0.2775,0.46752,0.40154,-0.03834,0.30397,0.42039,0.1619,0.24542,0.39037,0.31446,0.30172,0.20887,0.2266,-0.04889,0.42302
YDR416W,coding,chr04,1298311,1300983,W,-0.1088,-0.05023,-0.45617,-0.6963,-0.26743,-0.15351,-0.52386,-0.30567,0.29244,-0.26035,-0.45933,0.03911,0.11589,-0.05452,-0.06593,-0.0003,0.06465,-0.00627,-0.07747,-0.09988,-0.17503,-0.04443
YDR417C,coding,#N/A,#N/A,#N/A,#N/A,-0.49594,-0.19779,-0.84241,-0.18359,-1.0597,-2.39335,-0.98155,-1.42691,NA,-2.05491,-0.46363,0.08917,1.6591,0.36802,0.26185,-0.15653,0.91527,-1.76129,-0.04806,-0.25328,-0.57067,-1.06593
YDR418W,coding,chr04,1301519,1302207,W,-0.6702,-0.57371,-0.77227,-1.14367,-2.03162,-3.35296,-3.82833,-2.11413,-2.09024,-2.35684,-4.74182,-0.93002,-0.81935,-0.95455,-1.1914,-2.04067,-3.50614,-3.29707,-2.33528,-2.38551,-1.835,-0.68051
YDR419W,coding,chr04,1303143,1305159,W,0.01479,-0.13901,-0.52453,-0.64262,-0.53117,-0.05821,-0.26674,0.17637,-0.3359,-0.42559,-0.55657,-0.03598,0.18923,-0.21735,-0.38328,-0.39603,-0.12551,0.06316,0.06392,0.22774,-0.39236,-0.19453
YDR420W,coding,chr04,1305895,1307623,W,-0.60655,-0.89253,-1.12237,-0.87635,-0.72617,-0.52935,-0.39932,-0.27525,-0.70257,-0.38306,-1.0158,-0.25723,-0.89906,-1.04078,-0.43928,-0.39646,-0.17633,-0.15871,-0.19311,-0.42287,-0.39569,-0.10443
YDR421W,coding,chr04,1311927,1314999,W,0.32193,0.43137,0.41921,0.23981,0.73407,1.19051,0.35404,0.17231,1.5943,0.83217,0.77706,0.06824,0.36163,0.54608,0.67442,1.04868,1.24469,1.19699,0.30931,0.11453,0.4162,0.95959
YDR422C,coding,chr04,1317835,1315435,C,-0.42427,-0.55256,-0.42707,-0.24538,-0.0642,0.22314,0.0724,0.00216,0.01764,0.14302,-0.26971,-0.03306,-0.25741,-0.2666,-0.09336,-0.07849,0.10347,0.08548,-0.07281,-0.35181,-0.31232,0.16633
YDR423C,coding,chr04,1319235,1318083,C,0.0473,0.27422,0.47094,0.7997,1.06109,1.36961,0.70308,0.36592,1.39965,1.43502,1.25089,0.18557,0.17506,0.46295,0.82029,1.28464,1.66877,1.33832,0.25032,0.74862,0.38052,2.12138
YDR424C,coding,chr04,1319883,1319803,C,-0.38404,-0.44423,-0.073,-0.19696,-0.50945,-0.50802,-0.50369,0.01425,0.10518,-0.12538,-0.89351,0.3847,0.29423,0.1339,-0.47987,-0.16159,-0.7695,-0.9655,-0.59337,0.45491,-1.16544,0.11878
YDR425W,coding,chr04,1319943,1321943,W,0.3114,0.2996,0.72719,0.91467,1.40559,1.47629,0.6873,0.48284,1.80266,1.46958,1.10806,0.17327,0.27272,0.51701,0.85619,1.57228,1.26832,1.12022,0.45724,0.20444,0.47326,1.79239
YDR426C,coding,#N/A,#N/A,#N/A,#N/A,NA,1.72877,1.32354,1.24821,1.35487,0.80227,0.68945,0.6366,NA,NA,0.2767,1.23125,1.91034,1.05783,1.05367,0.51634,0.98019,0.40274,0.17992,0.93754,0.98735,2.21219
YDR427W,coding,chr04,1322151,1323447,W,0.29615,-0.32668,0.48059,0.47845,0.62189,1.27533,0.81517,1.00224,1.09508,0.8771,0.85104,0.13054,0.43958,0.49301,0.54169,0.91234,0.89518,1.49853,1.253,1.07583,0.86698,0.97228
YDR428C,coding,chr04,1324507,1323387,C,0.14326,-0.00439,0.20543,0.02579,-0.21409,-0.36084,-0.60688,-0.27197,-0.21744,-0.37086,-0.85802,0.25471,0.16291,0.06437,0.1546,-0.08477,-0.55783,-0.6612,-0.137,-0.13191,-0.32819,-0.08003
YDR429C,coding,chr04,1325331,1324491,C,-0.18911,-0.18211,-0.29634,-0.73741,-1.14202,-1.6419,-1.76672,-0.7783,-0.53553,-1.01587,-2.10867,-0.37039,-0.27279,-0.28311,-0.48201,-0.67491,-1.44758,-1.27041,-0.66647,-1.07652,-1.07514,-0.48524
YDR430C,coding,chr04,1328531,1327411,C,-0.45344,-0.66773,-0.4524,-0.47973,0.07035,0.84558,0.77864,0.75104,0.26828,0.36003,0.38314,-0.05418,-0.16083,-0.42484,-0.40502,-0.30938,0.24737,0.84324,0.8982,1.30347,0.43781,-0.31403
YDR431W,coding,#N/A,#N/A,#N/A,#N/A,NA,NA,1.05607,1.41804,NA,0.81208,2.83954,NA,NA,NA,NA,NA,1.04315,2.05815,1.55069,0.637,NA,1.37652,0.45453,NA,1.62439,NA
YDR432W,coding,chr04,1328743,1330255,W,-0.3905,-0.45232,-0.21346,-0.0503,-0.07194,-0.10125,-0.46977,-0.30653,-0.64468,-0.06422,-0.79391,-0.36465,-0.33803,-0.42792,-0.33775,-0.244,-0.36606,-0.90443,-0.53933,0.56027,-0.88338,0.1958
YDR434W,coding,chr04,1331103,1332799,W,-0.19382,-0.63944,-0.19613,-0.25719,-0.36371,0.05814,-0.0385,-0.21306,-0.05674,-0.40063,-0.48364,-0.30963,-0.05024,-0.14494,-0.21366,0.01508,-0.19665,0.20118,0.1291,-0.08863,0.02027,-0.13079
YDR435C,coding,chr04,1334051,1332955,C,0.07708,0.40419,0.86343,1.15684,1.36895,1.67688,1.55062,0.85495,1.35549,1.35819,1.23399,0.3389,0.63726,0.42112,0.58726,0.7961,1.15589,1.06982,0.94196,1.68031,0.64514,1.40937
YDR436W,coding,chr04,1334559,1336791,W,-0.12343,0.32445,0.5652,1.15385,1.41495,1.61011,1.54975,0.9203,1.08667,1.34267,1.01712,0.14152,0.00716,0.12963,0.50181,0.59689,1.04376,1.01701,0.8799,1.06626,0.38843,0.98775
YDR437W,coding,chr04,1337255,1338535,W,-0.41825,-0.11377,-0.33679,-0.51545,-0.43575,-0.83479,-0.6072,0.03014,-0.45476,-0.47332,-1.11178,-0.43098,-0.46051,-0.27798,-0.08349,-0.14169,-0.26982,-0.479,-0.35219,-0.76651,-0.56704,0.12447
YDR438W,coding,chr04,1338164,1339556,W,-0.60551,-0.30797,-0.4161,0.02033,0.30872,0.20446,0.57937,0.06726,-0.11072,0.11187,-0.53411,-0.53655,-0.69308,-0.35687,-0.00199,-0.17767,0.37516,0.04687,0.10155,-0.06198,-0.34048,0.12488
YDR439W,coding,chr04,1339566,1340889,W,0.17385,-0.01358,-0.23383,-0.48122,-0.33839,-0.55191,-0.94821,-0.50689,0.30485,-0.18865,-0.63777,-0.34443,-0.13135,0.00904,-0.03143,0.11736,-0.11645,0.01963,-0.25061,-0.47006,-0.11574,0.29163
YDR440W,coding,chr04,1342391,1344599,W,0.12657,-0.11139,-0.70095,-1.13647,-1.03733,-1.11917,-1.28615,-0.74917,-0.36976,-1.1046,-1.29545,-0.31149,-0.27406,-0.37915,-0.57011,-0.47794,-0.69319,-0.42244,-0.2972,-0.99488,-0.78628,-0.6983
YDR441C,coding,chr04,1345219,1344331,C,-0.11998,-0.0957,-0.59291,-0.60655,-0.73539,-0.04223,0.61819,0.26439,-1.01112,-0.3845,-0.38044,-0.00061,-0.44,-0.24032,-0.15276,-1.0644,-0.5955,-0.88894,-0.01833,-0.43566,-0.72133,-0.41594
YDR442W,coding,#N/A,#N/A,#N/A,#N/A,2.46152,2.55183,2.25696,1.97223,2.40289,2.29023,2.35253,0.70795,NA,NA,1.84501,1.29902,1.0966,1.01435,1.51568,0.56976,1.65671,1.11446,1.47879,-0.71159,1.38391,-0.18615
YDR443C,coding,chr04,1349995,1345507,C,-0.32829,-0.40671,-0.55216,-0.55275,-0.20083,0.19789,0.09969,0.19854,-0.08628,0.06787,-0.27054,-0.01964,-0.32919,-0.47723,-0.32079,-0.20552,0.11541,0.36814,0.20645,0.2168,-0.01931,-0.09702
YDR444W,coding,chr04,1350191,1352391,W,0.21914,0.13061,-0.11034,-0.36995,-0.52768,-0.86207,-1.18947,-0.55396,-0.56246,-1.14974,-1.22885,0.07096,-0.14497,-0.28831,-0.37557,-0.5813,-0.75285,-1.1111,-0.66979,-0.7982,-1.10451,-0.65896
YDR445C,coding,#N/A,#N/A,#N/A,#N/A,2.59006,2.259,1.28022,1.91438,3.67132,0.88406,2.05402,-0.46141,NA,NA,1.24569,1.62483,1.36257,0.73708,1.21899,0.63213,0.09547,0.08715,1.1943,-0.97369,0.97494,-0.57537
YDR446W,coding,chr04,1353615,1354803,W,2.2696,3.34264,2.81734,2.07436,NA,1.34899,2.7086,0.31937,NA,-0.46813,1.38193,1.26252,1.91906,1.77248,1.41452,1.02181,1.16414,0.85818,0.94069,-0.94474,1.24113,-0.74542
YDR447C,coding,chr04,1355571,1355219,C,-0.54921,-1.10608,-0.71262,-1.23116,-1.88988,-4.03266,-4.27676,-2.48258,-1.84924,-2.00405,-4.84736,-0.46949,-0.69301,-0.90188,-1.43151,-1.49088,-3.946,-4.24268,-2.61661,-2.22623,-1.99474,-1.65484
YDR448W,coding,chr04,1355951,1357391,W,-0.02068,0.18259,-0.1944,-0.51315,-0.55369,-0.66437,-1.09847,-0.65199,0.14098,-0.5945,-1.09058,-0.15558,-0.17682,0.02187,0.21034,-0.0616,-0.37951,-0.67988,-0.60518,-0.63299,-0.75597,0.2091
YDR449C,coding,chr04,1358931,1358035,C,-0.01722,-0.3521,-0.98462,-1.81496,-2.36133,-3.21347,-2.75729,-0.77902,-2.23777,-2.97451,-3.14434,-0.42824,-0.51216,-0.83897,-1.38302,-1.83106,-2.67166,-2.30788,-0.6566,-1.37726,-1.10257,-2.06732
YDR450W,coding,chr04,1359879,1359959,W,-0.57709,-0.88028,-0.52571,-1.2168,-1.79095,-3.30074,NA,-2.43992,-1.54082,-0.7921,-3.89141,-0.80932,-0.7599,-0.86244,-1.18469,-1.45091,-2.95769,-3.15034,-2.01112,-1.95905,-2.28005,-0.59664
YDR451C,coding,chr04,1362227,1360995,C,-0.87898,-1.19398,-1.60616,-1.70159,-1.86737,-1.97289,-1.49868,-0.93296,-2.07896,-1.91546,-2.25587,-0.47227,-0.9263,-1.14696,-0.91073,-0.71734,-0.87716,-0.88224,-0.63051,-0.05129,-0.93468,-1.49842
YDR452W,coding,chr04,1362719,1364615,W,-0.3136,-0.42047,-0.22349,-0.16637,-0.06926,0.476,0.35876,0.3466,0.21549,-0.03824,-0.25278,-0.155,-0.36115,-0.28032,-0.1849,-0.22037,0.049,0.28777,0.17934,-0.2482,-0.14637,0.02651
YDR453C,coding,chr04,1365707,1365035,C,2.00463,3.74421,4.84601,6.04581,6.50331,7.91065,8.23205,7.07272,5.99119,6.25127,6.18986,1.47056,2.48042,3.79985,4.59779,5.16428,5.64007,5.04701,5.77886,7.30379,5.18984,6.06988
YDR454C,coding,chr04,1366859,1366139,C,-0.56953,-0.45849,-0.62972,-0.65751,-1.33025,-1.88207,-2.13169,-1.73015,-1.27417,-1.62776,-3.09066,-0.14487,-0.37168,-0.44183,-0.57546,-1.13835,-1.67628,-2.37729,-1.62208,-1.31422,-1.40786,-0.8552
YDR455C,coding,#N/A,#N/A,#N/A,#N/A,1.96115,1.30867,0.9411,NA,1.21208,-0.11809,1.0558,NA,NA,NA,NA,NA,NA,2.26626,0.8183,0.56061,NA,1.04919,NA,-0.04266,1.73021,NA
YDR456W,coding,chr04,1367415,1369463,W,0.13681,-0.02443,0.03285,0.29415,0.14447,0.63771,1.08564,0.37055,0.26077,0.3816,0.00307,0.03024,-0.17939,-0.13765,0.17504,-0.14809,0.32953,0.46891,0.21717,0.55854,0.22664,0.47266
YDR457W,coding,chr04,1369631,1371463,W,-0.2493,-0.68897,-0.56927,-0.72424,-0.7959,-0.27045,-0.13748,0.08674,-0.48325,-0.50896,-0.94612,0.03488,-0.05482,-0.32394,-0.38123,-0.64721,-0.54455,-0.05031,0.14562,0.28171,-0.20785,-0.62557
YDR458C,coding,chr04,1382283,1380099,C,0.15067,-0.31813,-0.52202,-0.53791,-0.13131,-0.04304,-0.47447,-0.33915,0.12192,-0.07993,-0.08171,-0.26572,-0.4551,-0.35478,-0.27943,-0.1752,0.06899,0.03972,-0.12944,-0.60005,-0.46052,0.18242
YDR459C,coding,chr04,1383547,1382267,C,0.04334,-0.04798,-0.19021,-0.11475,0.238,0.01941,0.08632,-0.04045,-0.01181,-0.19569,-0.47108,0.10055,-0.02145,-0.1703,0.12348,0.03419,0.16314,-0.02859,-0.08202,-0.27027,-0.2088,0.04395
YDR460W,coding,chr04,1383655,1384751,W,0.40198,0.30558,0.04651,-0.11335,0.19426,0.08477,-0.38008,-0.13673,0.67745,0.12323,0.05997,-0.39358,-0.18622,0.15853,0.10315,0.31961,0.31995,0.34878,-0.13916,-0.16175,-0.35579,0.42508
YDR461C-A,coding,chr04,1385860,1385338,C,-0.17623,-0.07242,-0.21847,-0.28702,-0.00328,0.07436,0.05111,1.0623,-0.08315,0.5633,0.50821,-0.37688,-0.41313,-0.17111,-0.65436,-0.04844,-0.35502,-0.07228,0.33582,0.48798,-0.16322,0.28473
YDR461W,coding,chr04,1385063,1385463,W,0.29642,0.36299,0.56309,0.36063,-0.17081,-0.45571,-0.22127,0.16646,-0.71841,-0.47922,-1.9406,-0.80691,-0.80479,-0.44709,-0.60573,-0.31986,-1.59249,-1.15441,-0.22414,0.36802,-0.32748,0.0205
YDR462W,coding,chr04,1386007,1386615,W,-0.2102,0.41792,0.3593,0.59045,0.52289,0.6213,0.41594,0.82249,0.43526,0.87133,0.59187,0.28428,0.07988,0.31646,0.22198,0.18922,0.71623,0.4462,0.33281,1.12118,-0.25045,0.96669
YDR463W,coding,chr04,1386751,1388479,W,-0.25372,-0.48793,-0.35997,-0.39074,-0.2726,0.00646,-0.1734,0.05105,0.11053,0.11594,-0.4174,-0.17762,-0.34244,-0.32795,-0.61018,-0.3436,-0.29802,-0.43252,-0.24418,-0.59813,-0.79266,0.13453
YDR464C-A,coding,#N/A,#N/A,#N/A,#N/A,2.56531,1.94253,1.37827,1.41267,NA,NA,1.90393,NA,NA,NA,1.53296,NA,1.83195,-0.15421,1.87982,0.41133,NA,0.63271,NA,-0.02237,NA,-0.93172
YDR464W,coding,chr04,1388735,1390950,W,0.04122,-0.35085,-0.89198,-1.54657,-1.3474,-1.97265,-1.95434,-0.80959,-1.08106,-1.78846,-1.85705,-0.11524,-0.51019,-0.70806,-0.95098,-0.94431,-1.21351,-1.29313,-0.84753,-1.41903,-1.3099,-0.93777
YDR465C,coding,chr04,1394635,1393291,C,-0.43851,-0.56456,-0.58654,-1.0175,-1.37385,-2.60302,-2.60515,-0.69184,-0.9956,-2.24112,-3.48576,-0.31448,-0.29536,-0.51806,-0.94983,-1.25903,-2.57405,-2.76819,-0.71186,-2.04686,-1.3272,-1.38034
YDR466W,coding,chr04,1394999,1397911,W,-0.23291,-0.28392,-0.13808,-0.09029,0.09896,0.38824,-0.26096,0.18774,0.55814,0.37663,-0.17232,-0.39606,-0.54855,-0.67338,-0.46738,-0.21388,-0.19765,-0.07228,-0.22959,-0.36634,-0.54153,0.06257
YDR467C,coding,#N/A,#N/A,#N/A,#N/A,0.10832,1.3391,-0.27781,-1.12388,0.10443,-0.25026,0.87524,-0.41324,NA,0.01876,-0.19543,-0.21558,-0.41889,-0.13428,-0.50953,-0.39205,0.91533,0.02047,-0.05895,0.08389,-0.10544,-0.97538
YDR468C,coding,chr04,1398843,1397907,C,-0.05674,-0.17242,-0.35335,-0.67393,-0.56955,-0.26649,-0.80216,-0.26845,0.22523,-0.36889,-0.7178,-0.71061,-0.7178,-0.47853,-0.67988,-0.22962,-0.34996,0.06956,-0.21119,-0.3074,-0.54747,-0.08335
YDR469W,coding,chr04,1398983,1399767,W,-0.11975,-0.44347,-0.44923,-1.07879,-1.05239,-1.1815,-1.66548,-0.54592,-0.45636,-0.51338,-1.44793,-0.45501,-0.12849,0.17407,-0.75646,0.16317,-1.03218,-0.51071,-0.89361,-0.71427,-0.66241,0.17122
YDR470C,coding,chr04,1401307,1399603,C,-0.16842,-0.1021,0.19414,0.3375,0.42615,0.74459,0.36791,0.12418,0.4554,0.46551,0.02232,-0.12607,-0.03974,-0.11879,0.25652,0.42525,0.39422,0.34987,0.30139,0.16348,0.04998,0.71297
YDR471W,coding,chr04,1401711,1401799,W,-0.28844,-0.20304,-0.23154,-0.98697,-1.82034,-3.47488,-3.46982,-1.43153,-1.82916,-2.67211,-4.71749,-0.67364,-0.7003,-0.61789,-1.31629,-1.53696,-3.60886,-3.58891,-1.7738,-2.44317,-2.07261,-1.5983
YDR472W,coding,chr04,1403191,1403974,W,0.49315,0.62138,1.21182,1.16945,1.03339,0.93633,0.15074,0.0046,0.92919,0.8292,0.12324,0.28726,0.62949,0.82184,0.79832,1.06984,0.65044,-0.06284,-0.27349,0.38693,-0.13659,1.63357
YDR473C,coding,chr04,1405907,1404515,C,0.62049,0.44955,0.2748,-0.34384,0.12019,-0.26715,-0.75735,-0.01487,1.0074,-0.15259,0.21268,-0.27066,-0.15455,0.06256,-0.14537,0.41064,0.10217,0.33594,0.16427,-0.94216,-0.40296,0.04711
YDR475C,coding,chr04,1410331,1407427,C,0.45394,0.85722,1.27882,1.43349,1.36712,1.07116,0.66741,0.47024,1.59943,1.07262,0.71344,0.36475,0.37594,0.98294,1.44819,1.28986,0.91838,0.47101,0.34305,0.98057,0.22001,1.72922
YDR476C,coding,chr04,1411179,1410315,C,-0.20865,0.25327,-0.29513,0.45589,0.26312,0.84747,1.71335,0.75331,-0.21285,1.14533,0.68011,0.1693,-0.25467,0.13132,0.59189,-0.16847,1.04649,0.63742,0.69428,0.9486,0.01714,0.94421
YDR477W,coding,chr04,1412063,1414055,W,-0.13417,-0.17821,0.09062,0.18406,0.32204,0.53175,0.2132,-0.08263,0.38501,0.40558,-0.05006,-0.17719,-0.24053,-0.04706,0.08641,0.26728,0.09552,0.12747,-0.03699,0.07541,-0.2095,0.38276
YDR478W,coding,chr04,1414527,1415143,W,-0.02539,-0.08931,-0.57743,-0.91635,-0.77109,-1.22166,-1.28607,-0.31402,-0.73598,-1.18706,-1.82744,-0.30182,-0.26151,-0.19913,-0.57159,-0.24749,-0.87455,-1.21973,-0.57019,-0.56106,-0.92605,-0.19308
YDR479C,coding,chr04,1416979,1415211,C,0.05584,0.24978,0.80974,1.15165,1.57118,1.77983,1.67203,0.95986,1.44547,1.36826,1.26139,-0.03404,0.06933,0.24451,0.53275,0.78669,1.11257,0.98382,0.85384,0.99033,0.39393,0.9617
YDR480W,coding,chr04,1417327,1418255,W,0.63655,0.55233,0.74775,0.62972,0.57469,0.45157,-0.34082,-0.18141,1.30453,0.5054,0.0397,0.26901,0.55604,0.8749,0.91869,1.4267,1.26357,0.68985,-0.22108,0.00495,-0.12202,1.83294
YDR481C,coding,chr04,1420299,1418427,C,-0.24339,0.16303,0.32942,0.28687,-0.09631,-0.80585,-0.54174,-0.17004,-0.1944,-0.60639,-1.3995,0.08681,0.12283,0.2391,0.34623,-0.09031,-0.64767,-0.91858,-0.34843,-0.74216,-0.69186,-0.0004
YDR482C,coding,chr04,1420931,1420283,C,-0.34547,-0.22347,-0.98549,-1.0385,-1.30427,-1.15704,-0.8002,-0.35631,-0.90375,-0.90587,-0.88851,-0.27919,-0.47664,-0.29286,-0.74528,-0.94613,-0.94772,-0.68273,-0.7459,-0.87398,-1.08532,-0.81575
YDR483W,coding,chr04,1421111,1422591,W,-0.14642,-0.29335,-0.13219,-0.31933,-0.61756,-0.72493,-0.69287,-0.15945,-0.78654,-0.56172,-1.44428,0.07072,0.0579,-0.01219,-0.02347,-0.51089,-0.82651,-0.86595,-0.29612,-0.56615,-0.59758,-0.04171
YDR484W,coding,chr04,1422575,1424719,W,0.50665,0.1425,0.07358,-0.20942,0.25725,0.47551,-0.11029,-0.10073,0.75576,0.72075,0.26569,0.11051,0.50004,0.3483,-0.11668,0.63393,0.23886,0.66561,0.14845,0.01777,0.28826,0.75095
YDR485C,coding,chr04,1427667,1424739,C,0.24326,0.11829,-0.02772,-0.23984,-0.00857,0.01487,-0.5118,-0.08911,0.64469,0.03077,0.0374,-0.04271,-0.12735,-0.00658,-0.09317,0.31213,0.12642,0.13144,-0.15224,-0.74991,-0.34007,0.326
YDR486C,coding,chr04,1428179,1427651,C,0.12553,-0.005,0.19195,0.09545,0.09392,0.5004,0.36529,0.83087,0.66865,0.78693,0.49958,0.12987,0.16526,0.2825,0.1017,0.50955,0.54154,0.90079,0.7184,0.62923,0.19121,0.79069
YDR487C,coding,chr04,1429043,1428283,C,0.55266,1.33304,1.5955,2.00816,2.05484,1.85269,1.69116,0.43041,1.53165,1.92553,1.07252,0.48075,0.84938,1.23753,1.76039,1.74598,1.82986,1.08853,0.37576,2.44706,1.0646,2.53798
