ORF,name,chr,start,end,Yap4_0min,Yap4_5min,Yap4_15min,Yap4_30min,Yap4_45min,Hot1_30min,Msn1_30min,Msn2_0min,Msn2_30min,Msn4_0min,Msn4_30min,Skn7_30min,Smp1_30min,Sko1_0min,Sko1_5min,Sko1_15min,Sko1_30min,Sko1_45min,Yap6_0min,Yap6_30min,Yap4_binding_pat,Sko1_binding_pat
YFR040W,SAP155,6,233531,234228,0.448,0.438,0.467,0.894,0.864,,,,,,,,,,,,,,,,3,
YFR046C,CNN1,6,244147,244266,,,,,,,,,,,,,,,,,,,,,,
YGL013C,PDR1,7,472304,472860,0.23,0.311,0.304,0.614,0.555,,,,,,,,,,,,,,,,3,
YGL031C,RPL24A,7,437940,438939,,,,,,,,,,,,,,,,,,,,0.394,,
YGL037C,PNC1,7,427954,428606,0.097,0.137,0.49,0.661,0.514,,,,,,,,,0.393,0.628,0.429,0.376,0.342,,,3,3
YGR075C,PRP38,7,636880,637108,,,,,,,,,,,,,,,,,,,,,,
YGR081C,SLX9,7,643785,644048,,,,,,,,,,,,,,,,,,,,,,
YGR099W,TEL2,7,687462,687902,,,,,,,,,,,,,,,,,,,,,,
YGR105W,VMA21,7,698372,698602,,,,,,,,,,,,,,,,,,,,,,
YGR121C,MEP1,7,732933,733417,,,,,,,,,,,,,,,,,,,,,,
YGR126W,,7,745440,745839,,,,,,,,,,,,,,,,,,,,,,
YGR144W,THI4,7,779404,780403,,,,,,,,,,,,,,,,,,,,0.369,,
YGR150C,,7,793059,794058,,,,,,,,,,,,,,,,,,,,,,
YHR097C,,8,298612,299147,,,,,,,,,,,,,,,,,,,,,,
YHR103W,SBE22,8,319816,320415,,,,,,,,,,,,,,,,,,,,,,
YHR121W,LSM12,8,352455,352757,,,,,,,,,,,,,,,,,,,,,,
YHR127W,,8,360183,360914,,,,,,,,,,,,,,,,,,,,,,
YHR143W,DSE2,8,384512,385511,,,,,,,,,,,,,,,,,,,,,,
YHR148W,IMP3,8,393285,393535,,,,,,,,,,,,,,,,,,,,,,
YHR166C,CDC23,8,439052,439343,,,,,,,,,,,,,,,,,,,,,,
YHR172W,SPC97,8,447604,448333,,,,,,,,,,,,,,,,,,,,,,
YJL038C,,10,375691,376578,,,,,,,,,,,,,,,,,,,,,,
YJL057C,IKS1,10,330038,330347,0.353,0.693,1.171,1.088,0.904,,,,,,,,,,,,,,,,2,
YJL063C,MRPL8,10,316392,316639,,,,,,,,,,,,,,,,,,,,,,
YJL081C,ARP4,10,285188,285474,,,,,,,,,,,,,,,,,,,,,,
YJL087C,TRL1,10,272402,272743,,,,,,,,,,,,,,,,,,,,,,
YJL105W,SET4,10,223972,224971,0.752,1.206,1.201,1.389,1.208,,,,,,,0.667,,0.508,0.532,0.454,0.458,0.452,0.645,0.613,1,1
YJL111W,CCT7,10,207366,207793,,,,,,,,,,,,,,,,,,,,,,
YKL028W,TFA1,11,384401,385400,1.103,1.038,1.397,1.42,1.43,,,,,,,,,0.577,0.439,0.418,0.41,0.523,,0.326,1,1
YKL033W-A,,11,373748,374147,,,,,,,,,,,,,,,,,,,,,,
YKL051W,SFK1,11,340191,340956,0.199,0.306,0.488,0.655,0.598,,,,,,,,,,,,,,,0.387,3,
YKL056C,TMA19,11,334561,334966,,,,,,,,,,,,,,,,,,,,,,
YKL074C,MUD2,11,295839,296075,,,,,,,,,,,,,,,,,,,,,,
YKL080W,VMA5,11,284100,284674,,,,,,,,,,,,,,,,,,,,,,
YKL103C,LAP4,11,247329,248328,1.828,1.733,1.991,2.252,2.102,,,,,,,,,,,,,,,0.338,1,
YLR009W,RLP24,12,166082,166535,,,,,,,,,,,,,,,,,,,,,,
YLR015W,BRE2,12,174981,175225,,,,,,,,,,,,,,,,,,,,,,
YLR033W,RSC58,12,208501,208761,,,,,,,,,,,,,,,,,,,,,,
YLR038C,COX12,12,225174,225427,,,,,,,,,,,,,,,,,,,,,,
YLR056W,ERG3,12,253081,253861,,,,,,,,,,,,,,,,,,,,,,
YLR080W,EMP46,12,287675,287916,,,,,,,,,,,,,,,,,,,,,,
YLR086W,SMC4,12,301990,302243,,,,,,,,,,,,,,,,,,,,,,
YLR384C,IKI3,12,892901,892992,,,,,,,,,,,,,,,,,,,,,,
YLR390W,ECM19,12,902660,903065,0.223,0.403,0.761,1.029,0.789,,,,,,,,,0.382,0.41,0.413,0.403,0.276,,,3,1
YLR408C,,12,934251,934411,,,,,,,,,,,,,,,,,,,,,,
YLR412W,,12,947975,948364,,,,,,,,,,,,,,,,,,,,,,
YLR430W,SEN1,12,992728,993429,,,,,,,,,,,,,,,,,,,,,,
YLR436C,ECM30,12,1011242,1011618,,,,,,,,,,,,,,,,,,,,,,
YLR453C,RIF2,12,1042984,1043983,,,,,,,,,,,,,,,,,,,,,,
YLR459W,GAB1,12,1056768,1057330,,,,,,,,,,,,,,,,,,,,,,
YMR147W,,13,558523,559197,,,,,,,,,,,,,,,,,,,,,,
YMR168C,CEP3,13,599158,599351,,,,,,,,,,,,,,,,,,,,,,
YMR173W,DDR48,13,608139,608687,0.688,1.496,2.161,2.177,1.95,,,,0.393,,,,,1.012,1.494,1.681,1.097,1.169,,1.033,2,3
YMR190C,SGS1,13,645258,645655,,,,,,,,,,,,,,,,,,,,,,
YMR194W,RPL36A,13,650811,651143,,,,,,,,,,,,,,,,,,,,,,
YMR212C,EFR3,13,693043,693380,,,,,,,,,,,,,,,,,,,,,,
YMR218C,TRS130,13,706887,707132,,,,,,,,,,,,,,,,,,,,,,
YNL191W,DUG3,14,279896,280430,,,,,,,,,,,,,,,,,,,,,,
YNL197C,WHI3,14,269593,270274,,,,,,,,,,,,,,,,,,,,,,
YNL215W,IES2,14,244171,244466,,,,,,,,,,,,,,,,,,,,,,
YNL221C,POP1,14,233695,234412,,,,,,,,,,,,,,,,,,,,,,
YNL239W,LAP3,14,199976,200567,0.265,0.339,0.709,0.829,0.753,,,,,,,,,,,,,,,,3,
YNL245C,CWC25,14,186885,187169,,,,,,,,,,,,,,,,,,,,,,
YNL263C,YIF1,14,147840,148211,,,,,,,,,,,,,,,,,,,,,,
YNL269W,BSC4,14,137660,137697,,,,,,,,,,,,,,,,,,,,,,
YOL152W,FRE7,15,39747,40746,,,,,,,,,,,,,,,,,,,,,,
YOL158C,ENB1,15,21311,22310,,,,,,,,,,,,,,0.469,0.441,0.409,0.472,0.38,,,,1
YOR009W,TIR4,15,343334,344333,,,,,,,,,,,,,,,,,,,,,,
YOR033C,EXO1,15,394524,394836,,,,,,,,,,,,,,,,,,,,,,
YOR039W,CKB2,15,405387,405766,,,,,,,,,,,,,,,,,,,,,,
YOR057W,SGT1,15,431627,432186,,,,,,,,,,,,,,,,,,,,,,
YOR063W,RPL3,15,443687,444686,0.712,0.845,0.647,1.097,1.052,,,,0.369,,,0.335,,0.907,0.85,0.664,0.915,0.878,0.516,0.521,1,1
YOR361C,PRT1,15,1017649,1017876,,,,,,,,,,,,,,,,,,,,,,
YOR367W,SCP1,15,1025568,1026002,,,,,,,,,,,,,,,,,,,,,,
YOR385W,,15,1064039,1065038,0.54,0.636,1.288,1.742,1.337,,,,,,,,,,,,,,,,3,
YOR391C,HSP33,15,1079255,1080254,,,,,,,,,,,,,,0.851,0.518,0.763,1.048,0.948,,,,1
YPL015C,HST2,16,526881,527544,,,,,,,,,,,,,,0.179,0.548,0.374,0.405,0.269,,,,3
YPL021W,ECM23,16,510099,511098,,,,,,,,,,,,,,,,,,,,,,
YPL039W,,16,478998,479221,,,,,,,,,,,,,,,,,,,,,,
YPL045W,VPS16,16,466940,467256,,,,,,,,,,,,,,,,,,,,,,
YPR062W,FCY1,16,676879,677161,,,,,,,,,,,,,,,,,,,,,,
YPR068C,HOS1,16,684351,684553,,,,,,,,,,,,,,,,,,,,,,
YPR086W,SUA7,16,709826,710098,,,,,,,,,,,,,,,,,,,,,,
YPR110C,RPC40,16,746834,747304,,,,,,,,,,,,,,,,,,,,,,
YPR116W,,16,758126,758645,,,,,,,,,,,,,,,,,,,,,,
YPR133W-A,TOM5,16,797206,797552,,,,,,,,,,,,,,,,,,,,,,
YPR137W,RRP9,16,802013,802354,,,,,,,,,,,,,,,,,,,,,,
YCL021W-A,,3,82619,83618,,,,,,,,,,,,,,,,,,,,,,
YGL258W-A,,7,8967,9161,,,,,,,,,,,,,,,,,,,,,,
YNL162W-A,,14,330073,330328,,,,,,,,,,,,,,,,,,,,,,
YBR034C,HMT1,2,305977,306269,,,,,,,,,,,,,,,,,,,,,,
YBR040W,FIG1,2,316510,316967,,,,,,,,,,,,,,,,,,,,,,
YBR058C,UBP14,2,356016,356322,,,,,,,,,,,,,,,,,,,,,,
YBR082C,UBC4,2,407164,408163,,,,,,,,,,,,,,,,,,,,,,
YBR087W,RFC5,2,423035,423758,,,,,,,,,,,,,,,,,,,,,,
YBR104W,YMC2,2,449310,449660,,,,,,,,,,,,,,,,,,,,,,
YBR110W,ALG1,2,458356,458865,,,,,,,,,,,,,,,,,,,,,,
YCR042C,TAF2,3,205393,206256,,,,,,,,,,,,,,,,,,,,,,
YCR048W,ARE1,3,211540,211923,,,,,,,,,,,,,,,,,,,,,,
YCR069W,CPR4,3,238771,239049,,,,,,,,,,,,,,,,,,,,,,
YCR076C,,3,250042,250234,,,,,,,,,,,,,,,,,,,,,,
YCR095C,,3,289255,289635,,,,,,,,,,,,,,,,,,,,,,
YCR101C,,3,303027,304026,0.107,0.194,0.388,0.511,0.525,,,,,,,,,,,,,,,,3,
YDL017W,CDC7,4,423507,424205,,,,,,,,,,,,,,,,,,,,,,
YDR068W,DOS2,4,583462,583709,,,,,,,,,,,,,,,,,,,,,,
YDR074W,TPS2,4,592944,593888,,,,,,,,,,,,0.487,,0.442,0.946,0.845,0.516,0.522,,,,3
YDR092W,UBC13,4,628871,629870,,,,,,,,,,,,,,,,,,,,,,
YDR098C,GRX3,4,645031,645853,,,,,,,,,,,,,,,,,,,,,,
YDR120C,TRM1,4,693257,693580,,,,,,,,,,,,,,,,,,,,,,
YDR138W,HPR1,4,730245,730572,,,,,,,,,,,,,,,,,,,,,,
YDR144C,MKC7,4,746097,746733,,,,,,,,,,,,,,,,,,,,,,
YDR434W,GPI17,4,1330227,1331226,,,,,,,,,,,,,,,,,,,,,,
YDR440W,DOT1,4,1341483,1342482,,,,,,,,,,,,,,,,,,,,,,
YDR458C,,4,1382037,1382309,,,,,,,,,,,,,,,,,,,,,,
YDR464W,SPP41,4,1388365,1388861,,,,,,,,,,,,,,,,,,,,,,
YDR482C,CWC21,4,1420829,1421147,,,,,,,,,,,,,,,,,,,,,,
YDR488C,PAC11,4,1430780,1431002,,,,,,,,,,,,,,,,,,,,,,
YDR506C,,4,1461545,1462348,,,,,,,,,,,,,,,,,,,,,,
YDR512C,EMI1,4,1471054,1471538,,,,,,,,,,,,,,,,,,,,,,
YER176W,ECM32,5,540809,541684,,,,,,,,,,,,,,,,,,,,,,
YER182W,,5,551520,552519,,,,,,,,,,,,,,,,,,,,,,
YFL007W,BLM10,6,123101,123473,,,,,,,,,,,,,,,,,,,,,,
YFL012W,,6,109924,110640,0.433,0.411,0.805,0.887,0.851,,,,,,,,,,,,,,,,3,
YFL028C,CAF16,6,80212,80417,,,,,,,,,,,,,,,,,,,,,,
YFL034C-A,RPL22B,6,64932,65475,,,,,,,0.433,,,,,,,,,,,,,,,
YFL051C,,6,30541,31540,0.903,0.831,1.139,1.469,1.357,,,,,,,0.486,,1.008,0.672,0.687,0.835,0.883,0.748,0.898,3,1
YFL057C,AAD16,6,14764,14793,,,,,,,,,,,,,,,,,,,,,,
YGL234W,"ADE5,7",7,55815,56481,,,,,,,,,,,,,,,,,,,,,,
YGL240W,DOC1,7,48459,48612,,,,,,,,,,,,,,,,,,,,,,
YGL258W,VEL1,7,10110,11109,,,,,,,,,,,,,,,,,,,,,,
YGR001C,,7,498039,498480,,,,,,,,,,,,,,,,,,,,,,
YGR019W,UGA1,7,524684,525232,,,,,,,,,,,,,,,,,,,,,,
YHL046C,,8,12284,13283,0.559,0.718,1.197,1.535,1.352,,,,,,,,0.873,0.873,0.532,0.76,1.007,0.918,,,3,1
YHR001W-A,QCR10,8,107362,107819,,,,,,,,,,,,,,,,,,,,,,
YHR018C,ARG4,8,141395,141886,,,,,,,,,,,,,,,,,,,,,,
YHR023W,MYO1,8,151298,151657,,,,,,,,,,,,,,,,,,,,,,
YHR040W,BCD1,8,187671,187915,,,,,,,,,,,,,,,,,,,,,,
YHR046C,INM1,8,198278,198732,,,,,,,,,,,,,,,,,,,,,,
YHR063C,PAN5,8,225171,225526,,,,,,,,,,,,,,,,,,,,,,
YHR069C,RRP4,8,234660,234882,,,,,,,,,,,,,,,,,,,,,,
YIL146C,ECM37,9,75774,76354,,,,,,,,,,,,,,,,,,,,,,
YIL152W,,9,56379,56544,,,,,,,,,,,,,,,,,,,,,,
YIL170W,HXT12,9,19844,19846,3.326,2.761,2.972,3.183,2.904,,,,0.599,,,0.538,0.433,0.684,0.576,0.985,1.159,0.776,3.675,4.845,1,2
YIL176C,,9,9156,9183,0.415,0.185,0.592,0.933,0.858,,,,,,,,,,,,,,,,3,
YIR017C,MET28,9,384117,384606,,,,,,,,,,,,,,,,,,,,,,
YIR022W,SEC11,9,398723,398729,,,,,,,,,,,,,,,,,,,,,,
YJL002C,OST1,10,434567,435078,,,,,,,,,,,,,,,,,,,,,,
YJR085C,,10,585352,585982,,,,,,,,,,,,,,,,,,,,,,
YJR091C,JSN1,10,598251,598649,,,,,,,,,,,,,,,,,,,,,,
YJR108W,ABM1,10,628240,628626,,,,,,,,,,,,,,,,,,,,,,
YJR132W,NMD5,10,669208,669436,2.347,1.826,2.194,2.583,2.377,,,,,,,,,,,,,,,,1,
YJR137C,ECM17,10,683201,684200,,,,,,,,,,,,,,,,,,,,,,
YJR155W,AAD10,10,726739,727319,,,,,,,,,,,,,,,,,,,,,,
YJR161C,COS5,10,743915,744817,,,,,,,,,,,,,,0.19,0.588,0.816,0.884,0.696,,0.343,,2
YKR075C,,11,580393,581392,,,,,,,,,,,,,,0.354,0.564,0.409,0.463,0.435,,0.334,,2
YKR081C,RPF2,11,592183,592467,,,,,,,,,,,,,,,,,,,,,,
YKR099W,BAS1,11,634817,635488,,,,,,,,,,,,,,,,,,,,,,
YKR105C,,11,660103,661102,,,,,,,,,,,,,0.606,,,,,,,,,
YLL017W,,12,111574,112232,,,,,,,,,,,,,,,,,,,,,,
YLL022C,HIF1,12,100201,100946,,,,,,,,,,,,,,,,,,,,,,
YLL040C,VPS13,12,63645,64061,,,,,,,,,,,,,,,,,,,,,,
YLL046C,RNP1,12,47463,47858,,,,,,,,,,,,,,,,,,,,,,
YLR278C,,12,704027,704495,,,,,,,,,,,,,,,,,,,,,,
YLR284C,ECI1,12,707043,707362,,,,,,,,,,,,,,,,,,,,,,
YLR301W,,12,730303,730826,,,,,,,,,,,,,,,,,,,,,,
YLR307W,CDA1,12,744853,745621,,,,,,,,,,,,,,,,,,,,,,
YLR324W,PEX30,12,778952,779214,,,,,,,,,,,,,,,,,,,,,,
YLR330W,CHS5,12,787333,787663,,,,,,,,,,,,,,,,,,,,,,
YLR348C,DIC1,12,827873,828729,,,,,,,,,,,,,,,,,,,,,,
YLR354C,TAL1,12,837357,838065,,,,,,,,,,,,,,,,,,,,,,
YMR045C,,13,362627,363363,,,,,,,,,,,,,,,,,,,,,,
YMR050C,,13,378325,379324,,,,,,,,,,,,,,,,,,,,,,
YMR067C,UBX4,13,405573,406303,,,,,,,,,,,,,,,,,,,,,,
YMR073C,,13,412873,413035,,,,,,,,,,,,,,,,,,,,,,
YMR089C,YTA12,13,448086,449085,,,,,,,,,,,,,,,,,,,,,,
YMR095C,SNO1,13,457959,458407,,,,,,,,,,,,,,,,,,,,,,
YMR113W,FOL3,13,494494,494997,,,,,,,,,,,,,,,,,,,,,,
YMR119W,ASI1,13,504332,505331,,,,,,,,,,,,,,,,,,,,,,
YNL083W,SAL1,14,471102,471376,,,,,,,,,,,,,,,,,,,,,,
YNL107W,YAF9,14,419826,420097,0.191,0.092,0.307,0.52,0.509,,,,,,,,,0.914,0.441,0.514,0.759,0.672,,,3,1
YNL113W,RPC19,14,412053,412770,,,,,,,,,,,,,,,,,,,,,,
YNL131W,TOM22,14,378491,378766,,,,,,,,,,,,,,,,,,,,,,
YNL137C,NAM9,14,370056,370368,,,,,,,,,,,,,,,,,,,,,,
YNL155W,,14,341968,342515,,,,,,,,,,,,,,,,,,,,,,
YNL161W,CBK1,14,332154,332596,,,,,,,,,,,,,,,,,,,,,,
YOL047C,,15,242746,243495,,,,,,,,,,,,,,,,,,,,,,
YOL052C-A,DDR2,15,231754,232444,1.077,0.819,1.093,1.584,1.464,,,,0.632,,,2.327,,0.587,0.724,0.614,0.619,0.623,0.424,0.658,3,1
YOL070C,,15,198725,198941,,,,,,,,,,,,,,,,,,,,,,
YOL077C,BRX1,15,186723,187023,,,,,,,,,,,,,,,,,,,,,,
YOL094C,RFC4,15,142555,142814,,,,,,,,,,,,,,,,,,,,,,
YOL100W,PKH2,15,128236,129235,,,,,,,,,,,,,,,,,,,,,,
YOL116W,MSN1,15,99487,99807,0.62,0.594,0.872,1.136,1.054,,,,,,,,,,,,,,,,3,
YOL122C,SMF1,15,91419,92025,,,,,,,,,,,,,,,,,,,,,,
YOR257W,CDC31,15,810681,811005,,,,,,,,,,,,,,,,,,,,,,
YOR281C,PLP2,15,847127,847450,0.167,0.141,0.304,0.413,0.423,,,,,,,,,,,,,,,,3,
YOR287C,,15,851837,852118,,,,,,,,,,,,,,,,,,,,,,
YOR304C-A,,15,888747,889018,,,,,,,,,,,,,,,,,,,,,,
YOR327C,SNC2,15,931077,931798,-0.007,0.278,0.97,1.247,0.796,,,,,,,,,,,,,,,,3,
YPL241C,CIN2,16,96259,96496,,,,,,,,,,,,,,,,,,,,,,
YPL247C,,16,84197,84509,,,,,,,,,,,,,,,,,,,,,,
YPL262W,FUM1,16,46506,47335,,,,,,,,,,,,,,,,,,,,,,
YPL268W,PLC1,16,34947,35235,,,,,,,,,,,,,,,,,,,,,,
YPR002W,PDH1,16,557834,558381,,,,,,,,,,,,,,,,,,,,,,
YPR008W,HAA1,16,572015,573014,,,,,,,,,,,,,,,,,,,,,,
YPR026W,ATH1,16,614555,615375,-0.002,0.472,1.034,1.083,0.895,,,,,,,,,,,,,,,,2,
YPR032W,SRO7,16,633758,634119,,,,,,,,,,,,,,,,,,,,,,
YJL061W,NUP82,10,319692,319931,,,,,,,,,,,,,,,,,,,,,,
YBL092W,RPL32,2,44975,45974,,,,,,,,,,,,,,,,,,,,,,
YAL023C,PMT2,1,108553,108878,,,,,,,,,,,,,,,,,,,,,,
YAL029C,MYO4,1,92272,92901,,,,,,,,,,,,,,,,,,,,,,
YAL044C,GCV3,1,58464,58696,,,,,,,,,,,,,,,,,,,,,,
YAL051W,OAF1,1,48251,48564,,,,,,,,,,,,,,,,,,,,,,
YBR128C,ATG14,2,494110,494347,,,,,,,,,,,,,,,,,,,,,,
YBR152W,SPP381,2,545972,546369,,,,,,,,,,,,,,,,,,,,,,
YBR158W,AMN1,2,555543,556542,,,,,,,,,,,,,,,,,,,,,,
YBR175W,SWD3,2,582167,582402,,,,,,,,,,,,,,,,,,,,,,
YBR181C,RPS6B,2,592770,593501,,,,,,,,,,,,,,,,,,,,,,
YBR199W,KTR4,2,618518,618903,,,,,,,,,,,,,,,,,,,,,,
YBR205W,KTR3,2,633376,633616,,,,,,,,,,,,,,,,,,,,,,
YDL035C,GPR1,4,392055,392656,,,,,,,,,,,,,,,,,,,,,,
YDL058W,USO1,4,344953,345664,,,,,,,,,,,,,,,,,,,,,,
YDL064W,UBC9,4,337301,337486,,,,,,,,,,,,,,,,,,,,,,
YDL082W,RPL13A,4,307789,308423,,,,,,,,,,,,,,,,,,,,,,
YDL088C,ASM4,4,300004,300214,,,,,,,,,,,,,,,,,,,,,,
YDL106C,PHO2,4,271902,272389,,,,,,,,,,,,,,,,,,,,,,
YDL112W,TRM3,4,258555,258914,,,,,,,,,,,,,,,,,,,,,,
YDR162C,NBP2,4,781096,781418,,,,,,,,,,,,,,,,,,,,,,
YDR168W,CDC37,4,790064,790322,,,,,,,,,,,,,,,,,,,,,,
YDR184C,ATC1,4,831509,831929,,,,,,,,,,,,,,,,,,,,,,
YDR190C,RVB1,4,841991,842332,,,,,,,,,,,,,,,,,,,,,,
YDR208W,MSS4,4,867517,868218,,,,,,,,,,,,,,,,,,,,,,
YDR210W-D,,4,884922,883921,,,,,,,,,,,,,,,,,,,,,,
YDR228C,PCF11,4,923801,924779,,,,,,,,,,,,,,,,,,,,,,
YDR234W,LYS4,4,930351,931122,,,,,,,,,,,,,,,,,,,,,,
YDR529C,QCR7,4,1496539,1496781,,,,,,,,,,,,,,,,,,,,,,
YEL030W,ECM10,5,93905,94643,,,,,,,,,,,,,,,,,,,,,,
YEL036C,ANP1,5,84553,85045,,,,,,,,,,,,,,,,,,,,,,
YEL054C,RPL12A,5,53219,53901,,,,,,,,,,,,0.598,,,,,,,,,,
YFR007W,,6,158293,159292,,,,,,,,,,,,,,,,,,,,,,
YFR013W,IOC3,6,169302,169913,,,,,,,,,,,,,,,,,,,,,,
YFR030W,MET10,6,212961,213299,,,,,,,,,,,,,,,,,,,,,,
YFR034C,PHO4,6,225947,226109,,,,,,,,,,,,,,,,,,,,,,
YFR052W,RPN12,6,251790,252491,0.219,0.287,0.478,0.76,0.681,,,,,,,,,,,,,,,,3,
YGL001C,ERG26,7,496507,497137,,,,,,,,,,,,,,,,,,,,,,
YGL019W,CKB1,7,457875,458160,,,,,,,,,,,,,,,,,,,,,,
YGL025C,PGD1,7,449963,450202,,,,,,,,,,,,,,,,,,,,,,
YGR063C,SPT4,7,617829,618081,,,,,,,,,,,,,,,,,,,,,,
YGR087C,PDC6,7,652986,653985,,,,,,,,,,,,,,,,,,,,,,
YGR093W,,7,669911,670391,,,,,,,,,,,,,,,,,,,,,,
YGR109W-B,,7,706614,707613,,,,,,,,,,,,,,,,,,,,,,
YGR132C,PHB1,7,756458,756901,,,,,,,,,,,,,,,,,,,,,,
YGR138C,TPO2,7,765612,766611,1.566,1.691,1.641,2.023,1.954,,,,0.638,,,0.795,,0.851,0.755,0.638,0.855,0.88,1.041,1.385,1,1
YHR085W,IPI1,8,276241,276764,,,,,,,,,,,,,,,,,,,,,,
YHR091C,MSR1,8,286772,287131,,,,,,,,,,,,,,,,,,,,,,
YHR109W,CTM1,8,330062,330311,,,,,,,,,,,,,,,,,,,,,,
YHR115C,DMA1,8,341362,341667,,,,,,,,,,,,,,,,,,,,,,
YHR132W-A,,8,369796,370055,,,,,,,,,,,,,,,,,,,,,,
YHR138C,,8,377702,378221,,,,,,,,,,,,,,,,,,,,,,
YHR154W,RTT107,8,402684,402967,,,,,,,,,,,,,,,,,,,,,,
YHR160C,PEX18,8,420075,420375,,,,,,,,,,,,,,,,,,,,,,
YJL020C,BBC1,10,402327,402813,,,,,,,,,,,,,,,,,,,,,,
YJL026W,RNR2,10,392165,392319,,,,,,,,,,,,,,,,,,,,,,
YJL045W,,10,354940,355939,,,,,,,,,,,,,,,,,,,,,,
YJL051W,,10,339185,339702,,,,,,,,,,,,,,,,,,,,,,
YJL069C,UTP18,10,312623,312932,,,,,,,,,,,,,,,,,,,,,,
YJL093C,TOK1,10,256729,257339,,,,,,,,,,,,,,,,,,,,,,
YJL099W,CHS6,10,239003,239330,,,,,,,,,,,,,,,,,,,,,,
YKL016C,ATP7,11,407633,408187,,,,,,,,,,,,,,,,,,,,,,
YKL022C,CDC16,11,396892,396987,,,,,,,,,,,,,,,,,,,,,,
YKL039W,PTM1,11,361472,362265,,,,,,,,,,,,,,,,,,,,,,
YKL045W,PRI2,11,352269,353137,,,,,,,,,,,,,,,,,,,,,,
YKL062W,MSN4,11,321873,322872,,,,,,,,,0.427,,,0.588,,0.54,0.548,0.495,0.379,0.567,0.48,0.384,,1
YKL068W,NUP100,11,309087,309843,0.499,0.322,0.549,0.905,1.013,,,,,,,,,,,,,,,,3,
YKL086W,SRX1,11,277508,277925,,,,,,,,,,,,,,,,,,,,,,
YKL092C,BUD2,11,269105,269363,,,,,,,,,,,,,,,,,,,,,,
YLL064C,,12,13446,14445,0.131,0.308,0.36,0.886,0.827,,,,,,,,0.911,,,,,,,,3,
YLR003C,,12,157730,157933,,,,,,,,,,,,,,,,,,,,,,
YLR021W,,12,183404,183621,,,,,,,,,,,,,,,,,,,,,,
YLR027C,AAT2,12,198087,199086,,,,,,,,,0.394,,,,,,,,,,,0.388,,
YLR044C,PDC1,12,234083,235038,0.903,0.76,1.393,1.682,1.387,,,,,,,,,,,,,,,0.503,3,
YLR050C,,12,246074,246325,,,,,,,,,,,,,,,,,,,,,,
YLR068W,FYV7,12,270711,271008,,,,,,,,,,,,,,,,,,,,,,
YLR074C,BUD20,12,282458,282928,0.869,0.798,1.16,1.207,1.311,,,,,,,,,,,,,,0.402,,1,
YLR372W,SUR4,12,866783,867352,,,,,,,,,,,,,,,,,,,,,,
YLR378C,SEC61,12,877178,878177,,,,,,,,,,,,,,,,,,,,,,
YLR396C,VPS33,12,912311,912550,,,,,,,,,,,,,,,,,,,,,,
YLR418C,CDC73,12,958092,958424,,,,,,,,,,,,,,,,,,,,,,
YLR424W,SPP382,12,973166,973390,,,,,,,,,,,,,,,,,,,,,,
YLR441C,RPS1A,12,1018905,1019311,,,,,,,,,,,,,,,,,,,,,,
YLR447C,VMA6,12,1027890,1028849,,,,,,,,,0.395,,,,,,,,,,,,,
YMR158C-B,,13,573331,574330,,,,,,,,,,,,,,,,,,,,,,
YMR162C,DNF3,13,583921,584270,0.221,0.103,0.397,0.604,0.653,,,,,,,,,,,,,,,,3,
YMR178W,,13,618097,618477,,,,,,,,,,,,,,,,,,,,,,
YMR184W,ADD37,13,627807,628187,,,,,,,,,,,,,,,,,,,,,,
YMR200W,ROT1,13,664283,664750,,,,,,,,,,,,,,,,,,,,,,
YMR206W,,13,674895,675894,0.239,0.214,0.431,0.568,0.566,,,,,,,,,0.638,0.46,0.534,0.474,0.456,,0.36,3,1
YNL185C,MRPL19,14,292670,293137,,,,,,,,,,,,,,,,,,,,,,
YNL209W,SSB2,14,251742,252057,,,,,,,,,,,,,,,,,,,,,,
YNL227C,JJJ1,14,222431,222723,,,,,,,,,,,,,,,,,,,,,,
YNL233W,BNI4,14,211512,211920,,,,,,,,,,,,,,,,,,,,,,
YNL251C,NRD1,14,174315,175314,,,,,,,,,,,,,,,,,,,,,,
YNL257C,SIP3,14,164320,164622,,,,,,,,,,,,,,,,,,,,,,
YOL140W,ARG8,15,58537,58757,,,,,,,,,,,,,,0.585,0.502,0.7,0.73,0.666,,,,1
YOL146W,PSF3,15,48641,48861,,,,,,,,,,,,,,,,,,,,,,
YOL164W,BDS1,15,5175,6174,,,,,,,,,,,,,,,,,,,,,,
YOR004W,UTP23,15,332891,333591,,,,,,,,,,,,,,,,,,,,,,
YOR021C,,15,373439,373709,,,,,,,,,,,,,,,,,,,,,,
YOR027W,STI1,15,380805,381051,,,,,,,,,,,,,,,,,,,,,,
YOR045W,TOM6,15,413479,413850,,,,,,,,,,,,,,,,,,,,,,
YOR051C,,15,426086,426773,,,,,,,,,,,,,,,,,,,,0.337,,
YOR349W,CIN1,15,988784,989783,,,,,,,,,,,,0.818,,,,,,,0.568,0.458,,
YOR355W,GDS1,15,1004133,1005132,,,,,,,,,,,,,,,,,,,0.462,0.455,,
YOR373W,NUD1,15,1036467,1036829,,,,,,,,,,,,,,,,,,,,,,
YPL003W,ULA1,16,551654,552016,,,,,,,,,,,,,,-0.006,0.412,0.349,0.049,0.208,,,,3
YPL009C,,16,538934,539382,,,,,,,,,,,,,,,,,,,,,,
